Eternal Weekend 2024 Legacy Champs (2024-11-23)
+---------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                      | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Boros Tokens              |      0.09% |          1 |     541.00 |    3 |      4 |     1 | 43.75% |                    15.82% |                    74.95% |       51.56% |          43.75% |          43.75% |
| Colorless 12-Post         |      0.09% |          1 |     789.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       47.36% |          40.00% |          40.00% |
| Colorless Aggro           |      0.09% |          1 |     235.00 |    6 |      4 |     0 | 60.00% |                    31.27% |                    83.18% |       49.48% |          60.00% |          60.00% |
| Colorless Belcher         |      0.09% |          1 |     332.00 |    5 |      3 |     0 | 62.50% |                    30.57% |                    86.32% |       57.40% |          62.50% |          62.50% |
| Colorless Bomberman       |      0.09% |          1 |     229.00 |    6 |      4 |     0 | 60.00% |                    31.27% |                    83.18% |       46.71% |          60.00% |          60.00% |
| Colorless Prison          |      0.09% |          1 |    1090.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       49.52% |           0.00% |           0.00% |
| Dimir Control             |      0.09% |          1 |     106.00 |    7 |      3 |     1 | 68.18% |                    39.68% |                    89.22% |       58.18% |          68.18% |          68.18% |
| Dimir Scam                |      0.09% |          1 |     992.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       48.44% |          25.00% |          25.00% |
| Esper Belcher             |      0.09% |          1 |     323.00 |    5 |      3 |     0 | 62.50% |                    30.57% |                    86.32% |       49.70% |          62.50% |          62.50% |
| Five-color Control        |      0.09% |          1 |     439.00 |    4 |      4 |     0 | 50.00% |                    21.52% |                    78.48% |       53.16% |          50.00% |          50.00% |
| Five-color Dredge         |      0.09% |          1 |     748.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       47.75% |          28.57% |          28.57% |
| Food Chain                |      0.09% |          1 |     670.00 |    3 |      6 |     0 | 33.33% |                    12.06% |                    64.58% |       39.87% |          33.33% |          33.33% |
| Four-color Combo          |      0.09% |          1 |     527.00 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       51.30% |          36.36% |          36.36% |
| Four-color Control        |      0.09% |          1 |     706.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       49.13% |          50.00% |          50.00% |
| Four-color Midrange       |      0.09% |          1 |     313.00 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       53.68% |          45.45% |          45.45% |
| Four-color Reanimator     |      0.09% |          1 |     940.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       42.99% |          25.00% |          25.00% |
| Golgari Aggro             |      0.09% |          1 |     513.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       51.95% |          44.44% |          44.44% |
| Golgari Control           |      0.09% |          1 |    1072.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       46.88% |           0.00% |           0.00% |
| Golgari Depths            |      0.09% |          1 |    1151.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       39.28% |           0.00% |           0.00% |
| Golgari Midrange          |      0.09% |          1 |     906.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       41.65% |          25.00% |          25.00% |
| Golgari Mill              |      0.09% |          1 |     760.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       50.48% |          28.57% |          28.57% |
| Golgari Saga Storm        |      0.09% |          1 |     410.00 |    4 |      3 |     1 | 56.25% |                    25.05% |                    84.18% |       43.29% |          56.25% |          56.25% |
| Grixis Midrange           |      0.09% |          1 |     347.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       49.39% |          55.56% |          55.56% |
| Grixis Tempo              |      0.09% |          1 |     686.00 |    2 |      3 |     1 | 41.67% |                    11.76% |                    76.93% |       45.93% |          41.67% |          34.72% |
| Gruul Midrange            |      0.09% |          1 |     989.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       49.83% |          33.33% |          33.33% |
| Izzet Belcher             |      0.09% |          1 |     309.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       52.81% |          55.56% |          55.56% |
| Jeskai Dreadnought        |      0.09% |          1 |     875.00 |    1 |      2 |     1 | 37.50% |                     6.15% |                    79.23% |       49.09% |          37.50% |          37.50% |
| Jeskai Lands              |      0.09% |          1 |     218.00 |    6 |      3 |     0 | 66.67% |                    35.42% |                    87.94% |       49.09% |          66.67% |          66.67% |
| Jeskai Painter            |      0.09% |          1 |    1103.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       44.59% |           0.00% |           0.00% |
| Jund Merfolk              |      0.09% |          1 |     278.00 |    6 |      4 |     0 | 60.00% |                    31.27% |                    83.18% |       52.38% |          60.00% |          60.00% |
| Mardu Dreadnought         |      0.09% |          1 |     598.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       46.19% |          42.86% |          42.86% |
| Mardu Tokens              |      0.09% |          1 |    1062.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       45.84% |           0.00% |           0.00% |
| Mono-Black Helm           |      0.09% |          1 |    1021.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       48.44% |          20.00% |          20.00% |
| Mono-Black Saga Storm     |      0.09% |          1 |     864.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       50.43% |          50.00% |          50.00% |
| Mono-Blue 8-Cast          |      0.09% |          1 |     207.00 |    6 |      5 |     0 | 54.55% |                    28.01% |                    78.73% |       53.59% |          54.55% |          54.55% |
| Mono-Blue Aggro           |      0.09% |          1 |      29.00 |    9 |      2 |     0 | 81.82% |                    52.30% |                    94.86% |       62.12% |          81.82% |          81.82% |
| Mono-Blue Control         |      0.09% |          1 |     181.00 |    7 |      4 |     0 | 63.64% |                    35.38% |                    84.83% |       50.48% |          63.64% |          63.64% |
| Mono-Blue Painter         |      0.09% |          1 |    1003.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       47.92% |          25.00% |          25.00% |
| Mono-Red Belcher          |      0.09% |          1 |    1108.00 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       40.00% |           0.00% |           0.00% |
| Mono-Red Control          |      0.09% |          1 |     600.00 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       49.70% |          37.50% |          37.50% |
| Mono-Red Initiative       |      0.09% |          1 |     497.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       41.90% |          44.44% |          44.44% |
