Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Other Vial                     |      0.11% |          2 |      26.00 |    7 |      6 |     0 | 53.85% |                    29.14% |                    76.79% |       60.72% |          53.85% |          65.29% |
| Thought Lash Combo             |      0.11% |          2 |      66.50 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       43.48% |          41.67% |          45.00% |
| UR Delver                      |      0.11% |          2 |      81.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       42.08% |          41.67% |          50.00% |
| 4C Non Uro Control (Yorion)    |      0.06% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       35.11% |          28.57% |          28.57% |
| 4C Uro Control (Non-Yorion)    |      0.06% |          1 |      44.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       53.74% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.06% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       51.25% |          44.44% |          44.44% |
| Abzan Depths                   |      0.06% |          1 |     212.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       43.08% |          16.67% |          25.00% |
| Blue Artifacts                 |      0.06% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       36.93% |          50.00% |          41.67% |
| Blue Painter                   |      0.06% |          1 |      31.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       47.02% |          50.00% |          50.00% |
| Chain of Smog Combo            |      0.06% |          1 |      31.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       39.82% |          33.33% |          33.33% |
| Enchantress                    |      0.06% |          1 |      82.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       38.12% |          33.33% |          33.33% |
| High Tide                      |      0.06% |          1 |     101.00 |    1 |      5 |     1 | 21.43% |                     3.01% |                    56.35% |       31.01% |          21.43% |          21.43% |
