Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-08 (2024-09-08), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
| Other Stompy                   |      0.12% |          2 |     114.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       33.52% |          33.33% |          41.11% |
| Paradoxical Outcome            |      0.12% |          2 |      14.00 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       36.59% |          58.33% |          58.33% |
| 4C Non Uro Control (Yorion)    |      0.06% |          1 |     218.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       34.65% |          28.57% |          28.57% |
| 4C Uro Control (Non-Yorion)    |      0.06% |          1 |      44.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       53.92% |          28.57% |          28.57% |
| 4C Uro Control (Yorion)        |      0.06% |          1 |     122.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       51.29% |          44.44% |          44.44% |
| BUG Control                    |      0.06% |          1 |      34.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       45.70% |          33.33% |          16.67% |
| Beseech Storm                  |      0.06% |          1 |      35.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       49.83% |          33.33% |          66.83% |
| Blue Artifacts                 |      0.06% |          1 |      21.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       37.02% |          50.00% |          41.67% |
| Blue Painter                   |      0.06% |          1 |      31.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.90% |          50.00% |          50.00% |
| Chain of Smog Combo            |      0.06% |          1 |      31.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       39.89% |          33.33% |          33.33% |
