UB Reanimator -- 11.76% of field, won 52.37% of matches
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| UB Reanimator vs.              | Record  |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
| Aluren                         |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Blue Painter                   |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Bomberman                      |  0-0-0  |     --- |            0 |                 ---- |     5-2-0      |        71.43% |                 7 |                  35.9--91.8% |
| Chain of Smog Combo            |  0-0-0  |     --- |            0 |                 ---- |     3-0-0      |       100.00% |                 3 |                 43.9--100.0% |
| Colorless Cloudpost            |  0-0-0  |     --- |            0 |                 ---- |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| Creative Technique             |  0-0-0  |     --- |            0 |                 ---- |     5-0-0      |       100.00% |                 5 |                 56.6--100.0% |
| Death's Shadow                 |  0-0-0  |     --- |            0 |                 ---- |     5-4-0      |        55.56% |                 9 |                  26.7--81.1% |
| Displacer Kitten Combo         |  0-0-0  |     --- |            0 |                 ---- |     0-2-0      |         0.00% |                 2 |                   0.0--65.8% |
| Food Chain                     |  0-0-0  |     --- |            0 |                 ---- |     4-2-0      |        66.67% |                 6 |                  30.0--90.3% |
| GenericZoo                     |  0-0-0  |     --- |            0 |                 ---- |     2-5-1      |        31.25% |                 8 |                   8.2--64.1% |
| Goblins (Turbo Muxus)          |  0-0-0  |     --- |            0 |                 ---- |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Grixis Tempo                   |  0-0-0  |     --- |            0 |                 ---- |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Gruul Stompy                   |  0-0-0  |     --- |            0 |                 ---- |     6-2-0      |        75.00% |                 8 |                  40.9--92.9% |
| High Tide                      |  0-0-0  |     --- |            0 |                 ---- |     3-0-0      |       100.00% |                 3 |                 43.9--100.0% |
| Hogaak                         |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Infect                         |  0-0-0  |     --- |            0 |                 ---- |     4-1-0      |        80.00% |                 5 |                  37.6--96.4% |
| Jeskai Miracles                |  0-0-0  |     --- |            0 |                 ---- |     0-2-0      |         0.00% |                 2 |                   0.0--65.8% |
| Naya Depths                    |  0-0-0  |     --- |            0 |                 ---- |     2-2-0      |        50.00% |                 4 |                  15.0--85.0% |
| Necrodominance Combo           |  0-0-0  |     --- |            0 |                 ---- |     4-0-0      |       100.00% |                 4 |                 51.0--100.0% |
| Nic Fit                        |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Other Spell Combo              |  0-0-0  |     --- |            0 |                 ---- |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Other Vial                     |  0-0-0  |     --- |            0 |                 ---- |     3-4-0      |        42.86% |                 7 |                  15.8--75.0% |
| Paradoxical Outcome            |  0-0-0  |     --- |            0 |                 ---- |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| RUG Cascade                    |  0-0-0  |     --- |            0 |                 ---- |     4-2-0      |        66.67% |                 6 |                  30.0--90.3% |
| Rakdos Stompy                  |  0-0-0  |     --- |            0 |                 ---- |     2-1-0      |        66.67% |                 3 |                  20.8--93.9% |
| Soul Cauldron Combo            |  0-0-0  |     --- |            0 |                 ---- |     2-2-0      |        50.00% |                 4 |                  15.0--85.0% |
| Stryfo Pile                    |  0-0-0  |     --- |            0 |                 ---- |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| UR Delver                      |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Unknown                        |  0-0-0  |     --- |            0 |                 ---- |     10-1-0     |        90.91% |                11 |                  62.3--98.4% |
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
