23 events: Legacy Challenge 32 2025-04-02 (2025-04-02), Legacy Last Chance 2025-04-02 - 1 (2025-04-02), Legacy Last Chance 2025-04-02 - 2 (2025-04-02), Legacy Challenge 32 2025-04-04 (2025-04-04), Legacy Challenge 32 2025-04-05 (2025-04-05), Legacy Challenge 32 2025-04-06 - 1 (2025-04-06), Legacy Challenge 32 2025-04-06 - 2 (2025-04-06), Legacy Showcase Qualifier 2025-04-06 (2025-04-06), Legacy Challenge 32 2025-04-09 (2025-04-09), Legacy Challenge 32 2025-04-11 (2025-04-11), Legacy Challenge 32 2025-04-12 (2025-04-12), Legacy Challenge 32 2025-04-13 (2025-04-13), Legacy Challenge 32 2025-04-18 (2025-04-18), Legacy Challenge 32 2025-04-19 (2025-04-19), Legacy Challenge 32 2025-04-20 - 1 (2025-04-20), Legacy Challenge 32 2025-04-20 - 2 (2025-04-20), Legacy Challenge 32 2025-04-23 (2025-04-23), Legacy Challenge 32 2025-04-25 (2025-04-25), Legacy Challenge 32 2025-04-26 (2025-04-26), Buffalo Chicken Dip Legacy 21 (2025-04-26), Legacy Challenge 32 2025-04-27 - 1 (2025-04-27), Legacy Challenge 32 2025-04-27 - 2 (2025-04-27), Legacy Challenge 32 2025-04-30 (2025-04-30)
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               | % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Beanstalk Control (Yorion)      | 0.10% |     1 |     18.75% |    1 |      2 |     0 | 33.33% |    33.33% | 51.88% |   33.33% |
| Blue Artifacts                  | 0.10% |     1 |     40.54% |    3 |      3 |     0 | 50.00% |    50.00% | 52.77% |   50.00% |
| Boros Stompy                    | 0.10% |     1 |     56.76% |    1 |      3 |     0 | 25.00% |    25.00% | 45.99% |   25.00% |
| Death and Taxes (60 Card)       | 0.10% |     1 |     50.00% |    3 |      3 |     0 | 50.00% |    50.00% | 48.07% |   50.00% |
| Death and Taxes - RW (Yorion)   | 0.10% |     1 |     95.24% |    6 |      3 |     0 | 66.67% |    66.67% | 49.95% |   66.67% |
| Enchantress                     | 0.10% |     1 |     16.67% |    1 |      2 |     0 | 33.33% |    33.33% | 43.96% |   33.33% |
| Infect                          | 0.10% |     1 |     36.00% |    2 |      3 |     0 | 40.00% |    40.00% | 48.42% |   40.00% |
| Nadu Cradle Combo               | 0.10% |     1 |     96.88% |    7 |      2 |     0 | 77.78% |    77.78% | 55.89% |   77.78% |
| Naya Depths                     | 0.10% |     1 |     76.19% |    4 |      2 |     0 | 66.67% |    66.67% | 54.70% |   66.67% |
| Naya Stompy                     | 0.10% |     1 |     13.89% |    1 |      3 |     0 | 25.00% |    25.00% | 47.92% |   25.00% |
| Other Land Based/Fair GSZ       | 0.10% |     1 |     58.33% |    3 |      3 |     0 | 50.00% |    50.00% | 49.60% |   50.00% |
| Other Tempo                     | 0.10% |     1 |     37.21% |    2 |      2 |     0 | 50.00% |    50.00% | 56.19% |   50.00% |
| Ruby Storm                      | 0.10% |     1 |     64.41% |    3 |      3 |     0 | 50.00% |    50.00% | 48.66% |   50.00% |
| Standstill                      | 0.10% |     1 |      4.00% |    0 |      2 |     0 |  0.00% |     0.00% | 43.61% |    0.00% |
| Sultai Control                  | 0.10% |     1 |     38.00% |    2 |      4 |     0 | 33.33% |    33.33% | 47.08% |   33.33% |
| Sultai Tempo                    | 0.10% |     1 |      1.69% |    0 |      2 |     0 |  0.00% |     0.00% | 47.03% |    0.00% |
| Thought Lash Combo              | 0.10% |     1 |      7.32% |    0 |      3 |     0 |  0.00% |     0.00% | 46.44% |    0.00% |
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
