deck1,deck2,n,w
hypergenesis,reanimator,12,3
high tide,miracles,12,1
grixis delver,stoneblade,12,5
grixis delver,sneak and show,12,8
goblins,the walking dead,12,8
esper control,rug delver,12,3
enchantress,sneak and show,12,4
dream halls,sneak and show,12,3
dream halls,reanimator,12,5
dream halls,goblins,12,7
dream halls,dredge,12,8
cephalid breakfast,junk,12,2
cephalid breakfast,counter-top,12,3
b/w control,merfolk,12,4
b/w aggro,zoo,12,5
b/w aggro,zoo,12,5
b/w aggro,reanimator,12,9
b/w aggro,reanimator,12,9
b/w aggro,goblins,12,6
b/w aggro,goblins,12,6
burn,stax,12,7
bug,miracles,12,7
bug,metalworker,12,6
bug delver,stoneblade,12,7
belcher,mono blue control,12,2
belcher,bug,12,4
bant aggro,counter-top,12,4
ant,tes,12,8
ant,stax,12,0
ant,landstill,12,6
aggro loam,sneak and show,12,3
aggro loam,lands,12,8
affinity,nic fit,12,4
affinity,landstill,12,2
affinity,infect,12,5
affinity,cephalid breakfast,12,3
white weenie,zoo,11,5
u/r delver,u/w control,11,6
tes,u/r delver,11,1
stoneblade,twelvepost,11,6
stoneblade,the walking dead,11,8
rug delver,u/w/r delver,11,7
mono blue control,rug delver,11,8
mono blue control,no rug,11,2
miracles,shardless sultai,11,1
merfolk,u/b control,11,10
merfolk,tezzeret thopters,11,4
merfolk,tezzeret metalcraft,11,4
merfolk,stiflenought,11,7
merfolk,miracleblade,11,7
maverick,team america,11,8
maverick,stax,11,8
lands,threshold,11,7
junk,u/w control,11,2
junk depths,u/w stoneblade,11,5
jund,merfolk,11,4
jeskai stoneblade,sultai delver,11,8
jeskai stoneblade,miracles,11,7
high tide,u/w control,11,6
hexmage depths,merfolk,11,3
g/w stoneblade,no rug,11,3
goblins,nic fit,11,7
enchantress,tes,11,1
enchantress,no bant,11,5
elves,temur delver,11,1
elves,sultai delver,11,6
elves,hypergenesis,11,7
elves,eva green,11,3
dredge,u/w control,11,4
dredge,storm,11,5
dredge,new horizons,11,4
dredge,infect,11,8
dredge,g/w/b midrange,11,6
dream halls,miracles,11,6
dragon stompy,team america,11,3
dragon stompy,reanimator,11,4
doomsday,rug delver,11,2
death and taxes,show and tell,11,7
counter-top,white weenie,11,6
counter-top,mono blue control,11,6
counter-top,dragon stompy,11,7
canadian threshold,goblins,11,8
burn,storm,11,1
burn,infect,11,8
bug landstill,u/w stoneblade,11,2
belcher,threshold,11,0
belcher,mono black control,11,5
bant,mono blue control,11,7
bant aggro,goblins,11,8
ant,u/w stoneblade,11,2
ant,u/w landstill,11,5
ant,no rug,11,1
ant,faeries,11,4
aluren,counter-top,11,5
aggro loam,u/r delver,11,3
affinity,g/w aggro,11,3
affinity,eva green,11,4
4 color loam,stoneblade,11,9
4 color landstill,counter-top,11,10
u/r delver,zoo,10,5
survival,team america,10,5
stoneblade,tezzeret metalcraft,10,6
sneak and show,tes,10,6
rug,team america,10,4
pox,zoo,10,4
pox,tes,10,6
pox,sneak and show,10,4
painter's grindstone,stoneblade,10,2
omnitell,painter's grindstone,10,7
no bant,u/w landstill,10,6
mono blue control,team america,10,6
miracles,zoo,10,5
miracles,nic fit,10,8
miracleblade,omnitell,10,7
metalworker,omnitell,10,4
merfolk,tezzeret affinity,10,7
maverick,shardless sultai,10,5
lands,storm,10,2
lands,mono black control,10,6
lands,metalworker,10,7
lands,landstill,10,4
junk,u/w tempo,10,5
junk,u/w stoneblade,10,4
junk,u/w/r control,10,3
junk,rug,10,5
junk,mono blue control,10,5
infect,zoo,10,3
hulk combo,stoneblade,10,4
hive mind,sneak and show,10,4
hive mind,painted stone,10,7
high tide,hive mind,10,2
g/w stoneblade,stoneblade,10,6
g/w aggro,team america,10,7
goblins,u/w stoneblade,10,6
goblins,u/w control,10,5
esper stoneblade,reanimator,10,5
esper stoneblade,merfolk,10,7
enchantress,landstill,10,0
enchantress,eva green,10,4
elves,twelvepost,10,5
elves,survival,10,4
dredge,slivers,10,7
dragon stompy,goblins,10,3
dragon stompy,dredge,10,4
doomsday,maverick,10,3
death and taxes,storm,10,3
death and taxes,omnitell,10,5
death and taxes,metalworker,10,7
deadguy ale,miracles,10,4
counter-top,u/w/r control,10,3
counter-top,u/w landstill,10,4
cephalid breakfast,rug delver,10,3
b/w aggro,team america,10,5
b/w aggro,team america,10,5
b/w aggro,show and tell,10,3
b/w aggro,show and tell,10,3
b/w aggro,enchantress,10,5
b/w aggro,enchantress,10,5
burn,mono blue control,10,4
burn,dream halls,10,5
bug landstill,metalworker,10,7
belcher,dream halls,10,2
bant,u/r delver,10,4
ant,eva green,10,7
aluren,zoo,10,7
aluren,goblins,10,6
affinity,deadguy ale,10,5
affinity,b/w weenie,10,3
affinity,b/w aggro,10,3
affinity,b/w aggro,10,3
<unknown>,rug delver,9,5
team america,u/w/r control,9,5
storm,u/r delver,9,5
stiflenought,zoo,9,1
sneak and show,stifle naught,9,6
show and tell,sultai delver,9,3
rug delver,u/b control,9,8
reanimator,u/b delver,9,4
painter's grindstone,rug delver,9,5
omni-tell,u/r delver,9,7
omnitell,pox,9,4
no show,stoneblade,9,6
mud,rug delver,9,6
mud,reanimator,9,6
mono black control,team america,9,4
mono black control,survival,9,0
miracles,the walking dead,9,7
miracles,sultai delver,9,4
miracles,storm,9,5
metalworker,u/w stoneblade,9,6
merfolk,twelvepost,9,7
maverick,u/b tezzeret,9,7
maverick,mono-blue control,9,5
maverick,miracleblade,9,3
manaless dredge,u/w stoneblade,9,8
junk,white weenie,9,7
junk depths,stoneblade,9,3
jund,rug delver,9,5
jeskai stoneblade,storm,9,2
hypergenesis,u/r delver,9,5
hive mind,u/w landstill,9,8
hive mind,u/r delver,9,5
hive mind,no bant,9,7
high tide,tes,9,6
hexmage depths,zoo,9,3
helm of the void,merfolk,9,4
g/w stoneblade,u/w stoneblade,9,5
g/w/b midrange,omnitell,9,5
grixis delver,reanimator,9,7
grixis delver,maverick,9,2
grixis control,temur delver,9,4
goblins,u/w landstill,9,6
goblins,twelvepost,9,6
goblins,threshold,9,5
goblins,helm of the void,9,5
food chain,maverick,9,8
eva green,lands,9,2
esper control,merfolk,9,4
elves,u/w landstill,9,3
elves,the walking dead,9,1
elves,stiflenought,9,3
elves,jeskai stoneblade,9,7
dream halls,enchantress,9,7
deathblade,reanimator,9,8
death and taxes,twelvepost,9,3
death and taxes,jeskai stoneblade,9,2
deadguy ale,omnitell,9,4
counter-top,u/w stoneblade,9,3
counter-top,stiflenought,9,5
counter-top,helm of the void,9,2
counter-top,dream halls,9,4
cephalid breakfast,zoo,9,5
b/w weenie,zoo,9,3
b/w weenie,junk,9,5
b/w control,dredge,9,3
burn,white weenie,9,1
burn,u/w tempo,9,2
burn,miracleblade,9,5
burn,faeries,9,5
bug delver,sneak and show,9,5
bug delver,goblins,9,4
belcher,no bant,9,2
belcher,new horizons,9,1
belcher,landstill,9,5
bant,miracles,9,3
bant aggro,merfolk,9,3
bant aggro,maverick,9,7
assault loam,goblins,9,5
armageddon stax,merfolk,9,4
armageddon stax,dredge,9,6
ant,hypergenesis,9,5
ant,dragon stompy,9,1
ant,bug landstill,9,5
aggro loam,bant,9,6
affinity,twelvepost,9,6
affinity,threshold,9,3
affinity,hypergenesis,9,3
affinity,dream halls,9,1
affinity,death and taxes,9,6
4 color loam,u/w stoneblade,9,2
4 color landstill,merfolk,9,5
team america,twelvepost,8,6
sultai delver,u/r delver,8,5
stoneblade,u/b delver,8,5
stiflenought,team america,8,4
show and tell,twelvepost,8,4
show and tell,temur delver,8,4
shardless sultai,sultai delver,8,4
shardless sultai,storm,8,5
rug visions,stoneblade,8,6
rug delver,u/b delver,8,8
reanimator,u/w control,8,2
reanimator,twelvepost,8,5
no rug,show and tell,8,3
no bant,tes,8,6
no bant,no rug,8,2
new horizons,team america,8,5
new horizons,stax,8,6
mono white aggro,rug delver,8,3
mono blue control,u/w landstill,8,3
mono blue control,painted stone,8,5
miracles,team italia,8,6
miracles,show and tell,8,3
metalworker,u/w control,8,5
merfolk,painter's grindstone,8,3
landstill,show and tell,8,6
lands,stax,8,5
junk,new horizons,8,4
junk depths,no rug,8,3
jeskai delver,jeskai stoneblade,8,7
infect,metalworker,8,4
hypergenesis,tes,8,5
hive mind,tes,8,6
hive mind,show and tell,8,3
hive mind,omnitell,8,5
high tide,pox,8,4
high tide,omnitell,8,2
g/w/b rock,zoo,8,2
g/w/b rock,merfolk,8,5
grixis delver,rug delver,8,4
grixis control,merfolk,8,2
goblins,u/w tempo,8,2
goblins,stiflenaught,8,4
glimpse combo,maverick,8,5
faeries,lands,8,5
faeries,junk,8,4
eva green,stoneblade,8,3
esper stoneblade,u/w stoneblade,8,5
esper stoneblade,sneak and show,8,2
esper control,goblins,8,2
enchantress,no rug,8,5
elves,u/w/r delver,8,2
elves,u/w control,8,0
elves,infect,8,2
dredge,u/w/r control,8,5
dredge,stiflenought,8,2
dredge,hexmage depths,8,6
dredge,faeries,8,5
doomsday,stoneblade,8,2
doomsday,reanimator,8,6
doomsday,elves,8,5
deathblade,miracles,8,5
deathblade,elves,8,3
death and taxes,tes,8,5
death and taxes,temur delver,8,5
counter-top,g/w/b rock,8,6
cephalid breakfast,team america,8,2
cephalid breakfast,elves,8,6
canadian threshold,junk,8,5
canadian threshold,dredge,8,5
b/w weenie,dredge,8,1
b/w weenie,counter-top,8,4
b/w aggro,dredge,8,6
b/w aggro,dredge,8,6
burn,twelvepost,8,6
burn,landstill,8,6
burn,g/w aggro,8,2
burn,food chain,8,6
burn,eva green,8,3
bug visions,dredge,8,2
bug,nic fit,8,3
bug landstill,reanimator,8,5
bug,hypergenesis,8,5
bug,high tide,8,4
bug delver,u/w/r miracles,8,4
belcher,the walking dead,8,5
belcher,stifle naught,8,2
belcher,no rug,8,5
belcher,deadguy ale,8,7
bant,tes,8,3
bant,sneak and show,8,5
assault loam,counter-top,8,5
ant,dream halls,8,1
ant,b/w weenie,8,4
aluren,stoneblade,8,4
aluren,dredge,8,5
aggro loam,u/w stoneblade,8,4
aggro loam,painted stone,8,3
aggro loam,miracles,8,3
aggro loam,junk,8,2
aggro loam,hive mind,8,2
affinity,u/b control,8,5
affinity,storm,8,3
affinity,omnitell,8,2
affinity,doomsday,8,5
4 color loam,zoo,8,4
4 color loam,merfolk,8,4
u/w/r control,zoo,7,5
u/w landstill,u/w stoneblade,7,4
