deck1,deck2,n,w
defense of the heart,survival,1,0
defense of the heart,show and tell,1,0
defense of the heart,goblins,1,0
defense of the heart,dredge,1,0
death's shadow,reanimator,1,1
death's shadow,pox,1,0
death's shadow,mono red aggro,1,0
death's shadow,miracles,1,0
death's shadow,miracleblade,1,0
death's shadow,hive mind,1,0
death's shadow,glimpse combo,1,1
death's shadow,doomsday,1,1
death cloud,helm of the void,1,0
deathblade,w/b stoneblade,1,0
deathblade,uwrb pyromancer,1,1
deathblade,u/b reanimator,1,1
deathblade,rug landstill,1,0
deathblade,rug cascade,1,0
deathblade,punishing jund,1,1
deathblade,mono-red moggcatcher,1,1
deathblade,metal worker,1,1
deathblade,manaless dredge,1,0
deathblade,junk,1,1
deathblade,jeskai delver,1,0
deathblade,infect,1,0
deathblade,imperial painter,1,0
deathblade,high tide,1,1
deathblade,grixis delver,1,1
deathblade,grixis control,1,1
deathblade,goblins,1,1
deathblade,four-color loam,1,0
deathblade,esper delver,1,0
death and taxes,zombies,1,1
death and taxes,young frankenstein,1,1
death and taxes,white knights,1,1
death and taxes,u/w thopters,1,1
death and taxes,u/w/r miracles,1,0
death and taxes,uw mentor,1,1
death and taxes,u/w landstill,1,0
death and taxes,u/g infect,1,0
death and taxes,u/b tezzeret,1,0
death and taxes,u/b standstill,1,1
death and taxes,tinfins,1,0
death and taxes,the walking dead,1,0
death and taxes,tezzeret thopters,1,0
death and taxes,tezzeret helm,1,0
death and taxes,tezzeret affinity,1,0
death and taxes,tezzerator,1,1
death and taxes,team italia,1,0
death and taxes,sneak n show,1,0
death and taxes,shardless agent,1,1
death and taxes,rug landstill,1,1
death and taxes,r/u/g delver,1,0
death and taxes,rug,1,1
death and taxes,punishing jund,1,0
death and taxes,painter's grindstone,1,0
death and taxes,oops all spells!,1,0
death and taxes,no show,1,1
death and taxes,no rug,1,1
death and taxes,no bant,1,1
death and taxes,mono red aggro,1,1
death and taxes,mono green aggro,1,1
death and taxes,mono black control,1,1
death and taxes,mill,1,1
death and taxes,manaless dredge,1,1
death and taxes,leyline helm,1,1
death and taxes,landstill,1,1
death and taxes,jund depths,1,0
death and taxes,jeskai miracles,1,1
death and taxes,g/w stoneblade,1,1
death and taxes,gw aggro,1,1
death and taxes,grixis painter,1,0
death and taxes,grixis control,1,1
death and taxes,goblin ponza,1,1
death and taxes,explorer pod,1,0
death and taxes,dream halls,1,1
death &amp; taxes,pox,1,1
death &amp; taxes,elves,1,1
dead vegetables,twelvepost,1,0
dead vegetables,sneak and through,1,0
dead vegetables,maverick,1,1
dead vegetables,hypergenesis,1,0
dead vegetables,goblins,1,0
deadguy ale,u/w/r aggro,1,1
deadguy ale,u/g infect,1,1
deadguy ale,u/b tezzeret,1,1
deadguy ale,u/b faeries,1,0
deadguy ale,u/b control,1,1
deadguy ale,shardless bug,1,1
deadguy ale,rug,1,0
deadguy ale,painter's grindstone,1,0
deadguy ale,no show,1,0
deadguy ale,hypergenesis,1,1
deadguy ale,hexmage depths,1,0
deadguy ale,glimpse combo,1,0
deadguy ale,four-color delver,1,0
deadguy ale,esper control,1,0
deadguy ale,doomsday,1,0
deadguy ale,death's shadow,1,0
dark zoo,survival,1,1
dark zoo,stoneblade,1,1
dark zoo,painted stone,1,0
dark zoo,no rug,1,0
cruel control,merfolk,1,0
crab mill,walls,1,0
crab mill,reanimator,1,0
crab mill,faeries,1,1
counter-top,worm harvest combo,1,1
counter-top,wizards,1,0
counter-top,wildfire,1,1
counter-top,white stoneblade,1,0
counter-top,u/g madness,1,0
counter-top,u/b/g control,1,1
counter-top,u/b faeries,1,1
counter-top,u/b delver,1,1
counter-top,tezzeret stax,1,0
counter-top,tezzeret metalcraft,1,1
counter-top,stompy,1,0
counter-top,silent scepter,1,1
counter-top,r/w/b blade,1,0
counter-top,r/u/g aggro,1,1
counter-top,rockin' reanimator,1,0
counter-top,r/g/b beatdown,1,1
counter-top,proteus staff,1,1
countertop order,g/b/r beatdown,1,0
counter-top,ooze combo,1,1
counter-top,no hulk,1,0
counter-top,no bant horizons,1,1
counter-top,mono-white control,1,1
counter-top,mono black,1,1
counter-top,molten psyche,1,0
counter-top,miracle gro,1,1
counter-top,metalworker stax,1,1
counter-top,leyline of singularity,1,0
counter-top,kobolds!,1,1
counter-top,kavu fire,1,0
counter-top,jund loam,1,1
counter-top,jund,1,1
counter-top,jace control,1,0
counter-top,hulk,1,1
counter-top,hexmage depths,1,1
counter-top,g/w stoneblade,1,0
counter-top,g/w/b control,1,1
counter-top,gw aggro,1,0
counter-top,grixis tempo,1,0
counter-top,grindstone's servant,1,1
counter-top,goblin welder,1,0
counter-top,goblin bombardment,1,1
counter-top,g/b/u control,1,0
counter-top,garruk stasis,1,1
counter-top,free glimpse,1,1
counter-top,freebie glimpse,1,1
counter-top,food chain,1,1
counter-top,fiery thumb,1,1
counter-top,eureka,1,1
counter-top,esper affinity,1,0
counter-top,elspeth control,1,1
counter-top,dragonstorm,1,1
counter-top,doran defender,1,1
counter-top,countertop order,1,0
countertop beatdown,threshold,1,1
countertop beatdown,stiflenaught,1,0
countertop beatdown,sphinx control,1,0
countertop beatdown,reanimator,1,1
countertop beatdown,merfolk,1,0
countertop beatdown,lands,1,0
countertop beatdown,g/w/b beatdown,1,0
countertop beatdown,elves,1,1
countertop beatdown,elspeth control,1,1
counterburn,zoo,1,0
counterburn,stax,1,0
counterburn,show and tell,1,0
counterburn,replenish,1,1
counterburn,reanimator,1,1
counterburn,g/w stoneblade,1,1
counterburn,enchantress,1,0
combo reanimator,sneak and show,1,1
combo reanimator,rug delver,1,0
combo reanimator,maverick,1,0
combo reanimator,grixis delver,1,0
cloud vine,show and tell,1,1
cloud vine,maverick,1,0
cloud vine,elves,1,0
cloud vine,deathblade,1,1
charbelcher,high tide,1,0
chains of mephistopheles,landstill,1,0
chains of mephistopheles,g/w/b rock,1,0
cephalid breakfast,wizards,1,1
cephalid breakfast,white weenie,1,1
cephalid breakfast,u/w visions,1,1
cephalid breakfast,u/w/r stoneblade,1,0
cephalid breakfast,u/r/b stoneblade,1,0
cephalid breakfast,twelvepost,1,1
cephalid breakfast,threshold,1,1
cephalid breakfast,tezzeret affinity,1,0
cephalid breakfast,r/g aggro,1,1
cephalid breakfast,no naya,1,0
cephalid breakfast,nic fit,1,1
cephalid breakfast,new horizons,1,1
cephalid breakfast,naya aggro,1,1
cephalid breakfast,mono blue control,1,0
cephalid breakfast,miracleblade,1,0
cephalid breakfast,metalworker,1,0
cephalid breakfast,high tide,1,1
cephalid breakfast,hexmage depths,1,1
cephalid breakfast,g/w aggro,1,1
cephalid breakfast,goblin ponza,1,1
cephalid breakfast,faeries,1,0
cephalid breakfast,esper,1,0
cephalid breakfast,eldrazi ramp,1,0
cephalid breakfast,death and taxes,1,0
caw-blade,zoo,1,0
caw-blade,u/w aggro,1,0
caw-blade,team america,1,0
caw-blade,reanimator,1,1
caw-blade,metalworker,1,0
caw-blade,elves,1,1
caw-blade,eldrazi ramp,1,0
caw-blade,dredge,1,0
caw-blade,cephalid breakfast,1,0
canadian threshold,u/w/r landstill,1,1
canadian threshold,twelvepost,1,0
canadian threshold,stax,1,1
canadian threshold,r/u/g aggro,1,1
canadian threshold,r/g aggro,1,1
canadian threshold,rebels,1,0
canadian threshold,reanimator,1,1
canadian threshold,no list,1,0
canadian threshold,new horizons,1,1
canadian threshold,manaless dredge,1,0
canadian threshold,lands,1,0
canadian threshold,infect,1,1
canadian threshold,esper,1,1
canadian threshold,enchantress,1,1
canadian threshold,elves,1,0
canadian threshold,elf orb,1,1
b/w weenie,white weenie,1,0
b/w weenie,u/w tempo,1,0
b/w weenie,u/b control,1,0
b/w weenie,thopters,1,1
b/w weenie,tezzeret thopters,1,1
b/w weenie,tes,1,1
b/w weenie,stoneblade,1,1
b/w weenie,pyromancer ascension,1,1
b/w weenie,no show,1,1
b/w weenie,mono black control,1,1
b/w weenie,list missing,1,0
b/w weenie,lands,1,0
b/w weenie,jund,1,0
b/w weenie,infect,1,1
b/w weenie,iggy pop,1,1
b/w weenie,helm of the void,1,1
b/w weenie,g/w/b rock,1,0
b/w weenie,g/w/b,1,0
b/w weenie,goblin ponza,1,1
b/w weenie,dragonstorm,1,1
b/w weenie,b/w/r control,1,0
b/w weenie,bug landstill,1,1
b/w weenie,bug,1,0
b/w vampires,rug,1,1
b/w vampires,painted stone,1,0
b/w vampires,no bant,1,0
b/w vampires,counter-top,1,0
bw tokens,zoo,1,0
b/w tokens,zoo,1,0
b/w tokens,wizards,1,1
b/w tokens,u/w control,1,0
b/w tokens,u/w aggro,1,0
bw tokens,rug delver,1,0
b/w tokens,omnitell,1,1
bw tokens,no bant,1,0
b/w tokens,mono white stax,1,1
b/w tokens,mono white aggro,1,1
b/w tokens,mono black control,1,0
b/w tokens,merfolk,1,0
b/w tokens,lands,1,1
b/w tokens,junk,1,0
b/w tokens,hypergenesis,1,1
b/w tokens,hive mind,1,0
bw tokens,high tide,1,0
b/w tokens,g/w humans,1,1
b/w tokens,doomsday,1,0
b/w tokens,counter-top,1,0
b/w tokens,bug delver,1,1
b/w tokens,belcher,1,0
b/w tokens,bant aggro,1,1
b/w tokens,bant,1,0
b/w tempo,zoo,1,1
b/w tempo,survival,1,1
b/w tempo,junk,1,0
b/w tempo,high tide,1,1
b/w stoneblade,u/b tezzeret,1,0
b/w/r zombies,u/r delver,1,0
b/w/r zombies,reanimator,1,0
b/w/r zombies,jund,1,1
b/w/r zombies,esper control,1,1
b/w/r stoneblade,shardless bug,1,1
b/w/r stoneblade,grixis delver,1,0
b/w/r stoneblade,four-color loam,1,1
b/w/r control,zoo,1,0
b/w/r control,team america,1,0
b/w/r control,painted stone,1,0
b/w/r control,mono blue landstill,1,1
b/w/r control,dredge,1,1
b/w/r control,counter-top,1,1
b/w/r aggro,team america,1,0
b/w/r aggro,no bant,1,0
b/w/r aggro,bant,1,1
b/w pox,reanimator,1,0
b/w pox,no rug,1,1
b/w pox,counter-top,1,1
b/w pox,burn,1,1
b/w pox,belcher,1,0
b/w obliterator,dredge,1,0
b/w knights,tes,1,0
b/w knights,stoneblade,1,0
b/w knights,replenish,1,1
b/w knights,mono blue control,1,0
b/w knights,lands,1,0
b/w knights,junk,1,1
b/w knights,dredge,1,0
b/w knights,bug,1,1
b/w knights,bant,1,0
b/w infect,stifle naught,1,0
b/w infect,sneak and show,1,0
b/w infect,metalworker,1,0
b/w infect,burn,1,0
b/w infect,belcher,1,0
b/w humans,omni-tell,1,0
b/w humans,junk,1,0
b/w humans,bug,1,0
b/w haakon,reanimator,1,1
b/w haakon,merfolk,1,1
b/w haakon,lands,1,0
b/w haakon,counter-top,1,0
b/w haakon,belcher,1,0
b/w deathblade,u/w delver,1,1
b/w deathblade,high tide,1,1
b/w control,vampires,1,1
b/w control,u/w tempo,1,0
b/w control,u/w landstill,1,0
b/w control,stax,1,0
b/w control,slivers,1,0
b/w control,show and tell,1,1
b/w control,r/w weenie,1,1
b/w control,r/u/g aggro,1,1
b/w control,rug,1,0
b/w control,reanimator,1,0
b/w control,pitch world,1,1
b/w control,no bant,1,1
b/w control,new horizons,1,1
b/w control,mono black control,1,1
b/w control,mono black,1,0
b/w control,metalworker,1,0
b/w control,junk,1,1
b/w control,hulk combo,1,0
b/w control,high tide,1,0
b/w control,hexmage depths,1,0
b/w control,g/w aggro,1,0
b/w control,grixis delver,1,0
b/w control,gifts,1,1
b/w control,dreadstill,1,0
b/w control,b/w weenie,1,1
b/w control,black rack,1,1
b/w control,bant control,1,0
b/w confidant,threshold,1,1
b/w confidant,stiflenaught,1,0
b/w confidant,naya scepter,1,0
b/w confidant,merfolk,1,1
b/w confidant,lands,1,1
b/w confidant,g/b/w rock,1,0
b/w confidant,dredge,1,1
b/w beatdown,threshold,1,1
b/w beatdown,dredge,1,1
b/w aggro,u/w tempo,1,0
b/w aggro,u/w tempo,1,0
b/w aggro,u/w/r delver,1,0
b/w aggro,u/w/r delver,1,0
b/w aggro,u/w delver,1,0
b/w aggro,u/w delver,1,0
b/w aggro,u/w aggro,1,0
b/w aggro,u/w aggro,1,0
b/w aggro,u/r delver,1,1
b/w aggro,u/r delver,1,1
b/w aggro,u/b rite,1,1
b/w aggro,u/b rite,1,1
b/w aggro,u/b control,1,1
b/w aggro,u/b control,1,1
b/w aggro,twelvepost,1,1
b/w aggro,twelvepost,1,1
b/w aggro,sea drake stompy,1,1
b/w aggro,sea drake stompy,1,1
b/w aggro,scepter-chant,1,1
b/w aggro,scepter-chant,1,1
b/w aggro,r/w/b aggro,1,0
b/w aggro,r/w/b aggro,1,0
b/w aggro,rug,1,1
b/w aggro,rug,1,1
b/w aggro,power monolith,1,1
b/w aggro,power monolith,1,1
b/w aggro,mud,1,1
b/w aggro,mud,1,1
b/w aggro,mono white stax,1,1
b/w aggro,mono white stax,1,1
b/w aggro,mono black poison,1,0
b/w aggro,mono black poison,1,0
b/w aggro,hexmage depths,1,0
b/w aggro,hexmage depths,1,0
b/w aggro,food chain,1,1
b/w aggro,food chain,1,1
b/w aggro,eva green,1,1
b/w aggro,eva green,1,1
b/w aggro,death and taxes,1,0
b/w aggro,death and taxes,1,0
b/w aggro,cephalid breakfast,1,1
b/w aggro,cephalid breakfast,1,1
b/w aggro,canadian threshold,1,1
b/w aggro,canadian threshold,1,1
b/w aggro,bant control,1,1
b/w aggro,bant control,1,1
b/w abyssal silence,stasis,1,0
b/w abyssal silence,reanimator,1,0
b/w abyssal silence,mono green aggro,1,0
burn,walls,1,1
burn,vampires,1,0
burn,u/w/b caw-blade,1,1
burn,u/r stiflenaught,1,0
burn,u/r control,1,1
burn,u/r/b stoneblade,1,1
burn,u/g poison,1,0
burn,u/g ninja,1,1
burn,u/g infect,1,1
burn,u/g aggro,1,0
burn,u/b tempo,1,0
burn,u/b mill,1,1
burn,u/b landstill,1,0
burn,u/b faeries,1,1
burn,u/b delver,1,0
burn,u/b aggro,1,1
burn,thopters,1,0
burn,tezzeret plating,1,0
burn,tezzeret control,1,1
burn,terrageddon,1,0
burn,super highlander,1,0
burn,shardless sultai,1,0
burn,shardless bug,1,1
burn,shardless agent,1,1
burn,sea stompy,1,0
burn,sea drake stompy,1,0
burn,scepter balance,1,1
burn,scapeshift,1,1
burn,salvagers,1,1
burn,rug landstill,1,0
burn,rug aggro,1,1
burn,reanimator combo,1,0
burn,pyromancer ascension,1,0
burn,polymorph,1,1
burn,pitch world,1,1
burn,pingers,1,1
burn,patron wizard,1,1
burn,painter's grindstone,1,1
burn,omniscience combo,1,1
burn,no naya,1,0
burn,ninjas!,1,1
burn,myr,1,1
burn,mono-white control,1,0
burn,mono r sneak attack,1,0
burn,mono green auras,1,1
burn,mono blue tempo,1,1
burn,mono blue landstill,1,0
burn,mono black aggro,1,1
burn,miracle grow,1,1
burn,metal worker,1,0
burn,living death,1,1
burn,leyline helm,1,1
burn,kobolds!,1,1
burn,kobolds,1,1
burn,jundvine,1,1
burn,jeskai delver,1,0
burn,jeskai ascendancy combo,1,1
burning junk,tezzeret metalcraft,1,0
burning junk,stoneblade,1,1
burning junk,scrambled eggs,1,1
burning junk,junk,1,0
burn,illusionary orb,1,0
burn,iggy pop,1,1
burn,hulk rebirth,1,0
burn,hulk,1,1
burn,hexblade,1,1
burn,g/w scepter chant,1,0
burn,glimpse combo,1,0
burn,geddon zoo,1,0
burn,g/b/u control,1,0
burn,g/b infect,1,0
burn,free glimpse,1,1
burn,fiery thumb,1,1
burn,empty the flames,1,0
burn,elspeth control,1,1
burn,dreadstill,1,0
burn,dragon stax,1,1
burn,doran defender,1,0
burn,cruel control,1,0
burn,countertop beatdown,1,1
burn,caw-blade,1,0
buried ooze,zoo,1,1
buried ooze,u/w stoneblade,1,1
buried ooze,turboland,1,1
buried ooze,team america,1,1
buried ooze,stoneblade,1,1
buried ooze,rug visions,1,1
buried ooze,merfolk,1,0
buried ooze,maverick,1,0
buried ooze,hive mind,1,1
burg pyromancer,twelvepost,1,1
burg pyromancer,storm,1,1
burg pyromancer,slivers,1,0
burg pyromancer,reanimator,1,1
burg pyromancer,miracles,1,0
burg pyromancer,jeskai delver,1,1
burg punishing fire,vampires,1,0
burg punishing fire,show and tell,1,1
burg punishing fire,miracles,1,1
burg punishing fire,junk,1,0
burg punishing fire,jeskai delver,1,0
burg delver,sultai delver,1,1
burg delver,show and tell,1,1
burg delver,shardless sultai,1,1
burg delver,lands,1,0
burg delver,junk,1,0
burg delver,jeskai delver,1,1
burg delver,deathblade,1,0
burg delver,death and taxes,1,0
bureaucratic nightmare,stoneblade,1,0
bureaucratic nightmare,miracles,1,0
bureaucratic nightmare,metalworker,1,0
bureaucratic nightmare,high tide,1,1
b/u/r control,reanimator,1,1
b/u/r control,new horizons,1,1
b/u/r control,merfolk,1,0
b/u/r control,goblins,1,0
bug,zombies,1,1
bug,white weenie,1,0
bug,walking dead,1,0
bug walkers,u/w/r stoneblade,1,1
bug walkers,esper stoneblade,1,1
bug visions,u/w visions,1,0
bug visions,u/w/r stoneblade,1,1
bug visions,u/w landstill,1,0
bug visions,u/g madness,1,1
bug visions,turboland,1,1
bug visions,team america,1,1
bug visions,ooze combo,1,1
bug visions,mono white puresteel,1,1
bug visions,mesmeric monolith,1,0
bug visions,manaless dredge,1,1
bug visions,lands,1,1
bug visions,junk depths,1,1
bug visions,infect,1,0
bug visions,high tide,1,1
bug visions,goblins,1,0
bug visions,eva green,1,1
bug visions,esper stoneblade,1,0
bug,u/r control,1,0
bug,u/g poison,1,0
bug,ub delver,1,1
bug,the walking dead,1,1
bug,tezzeret thopters,1,0
bug,tempered steel,1,1
bug,team italia,1,0
bug,storm,1,1
bug stiflenought,rug delver,1,1
bug standstill,stoneblade,1,1
bug standstill,reanimator,1,1
bug standstill,painted stone,1,0
bug standstill,maverick,1,1
bug standstill,lands,1,0
bug standstill,goblins,1,0
bug standstill,eva gree,1,0
bug standstill,burn,1,1
bug,slivers,1,1
bug,rug visions,1,0
bug,rug counterbalance,1,0
bug,r/g aggro,1,1
bug psychatog,turboland,1,0
bug psychatog,elves,1,1
bug psychatog,burn,1,1
bug natural order,rug delver,1,1
bug,mono white aggro,1,0
bug,mono black poison,1,1
bug,mono black control,1,0
bug midrange,u/w control,1,1
bug midrange,u/b tezzeret,1,1
bug midrange,tes,1,1
bug midrange,stoneblade,1,1
bug midrange,pox,1,1
bug midrange,mono blue tempo,1,0
bug midrange,miracleblade,1,0
bug midrange,lands,1,0
bug midrange,g/w/b midrange,1,1
bug midrange,goblins,1,0
bug midrange,enchantress,1,1
bug midrange,elves,1,0
bug loam,u/w landstill,1,1
bug loam,metalworker,1,0
bug loam,merfolk,1,0
bug loam,hive mind,1,1
bug loam,burn,1,0
bug landstill,white weenie,1,1
bug landstill,u/w tempo,1,1
bug landstill,u/w/r landstill,1,0
bug landstill,u/r/b stoneblade,1,1
bug landstill,u/g madness,1,0
bug landstill,twelvepost,1,0
bug landstill,tezzeret thopters,1,0
bug landstill,tezzeret affinity,1,1
bug landstill,tes,1,1
bug landstill,stax,1,1
bug landstill,scapeshift,1,1
bug landstill,rug visions,1,0
bug landstill,rug control,1,0
bug landstill,ooze combo,1,0
bug landstill,no list,1,1
bug landstill,mono white stoneblade,1,1
bug landstill,mono white puresteel,1,0
bug landstill,mono blue landstill,1,1
bug landstill,mesmeric monolith,1,1
bug landstill,infect,1,0
bug landstill,hulk combo,1,1
bug landstill,g/w stoneblade,1,1
bug landstill,g/w/b,1,1
bug landstill,freebie glimpse,1,0
bug landstill,eva green,1,0
bug landstill,esper stoneblade,1,0
bug landstill,death and taxes,1,1
bug landstill,cephalid breakfast,1,1
bug landstill,caw-blade,1,1
bug landstill,bug loam,1,0
bug,infect combo,1,0
bug,hexblade,1,0
bug,g/w stoneblade,1,1
bug,g/w/b midrange,1,0
bug,griffin canyon combo,1,1
bug,g/b infect,1,0
bug,g/b control,1,0
bug,forgemaster combo,1,1
bug faeries,u/w stoneblade,1,0
bug faeries,u/w landstill,1,1
bug faeries,stiflenought,1,0
bug faeries,no rug,1,0
bug faeries,metalworker,1,1
bug faeries,junk,1,0
bug explorer pod,u/b faeries,1,0
bug explorer pod,miracles,1,0
bug explorer pod,jeskai stoneblade,1,0
bug,eva green,1,0
bug,dream halls,1,1
bug,doomsday,1,1
bug delver,young frankenstein,1,1
bug delver,w/b stoneblade,1,0
bug delver,u/w stoneblade,1,0
bug delver,u/w/r control,1,0
bug delver,u/w miracles,1,0
bug delver,u/r painter,1,1
bug delver,u/b faeries,1,0
bug delver,u/b delver,1,1
b/u/g delver,tin fins,1,1
bug delver,tezzeret control,1,1
bug delver,stiflenaught,1,0
bug delver,show and tell,1,1
bug delver,sea stompy,1,1
bug delver,punishing jund,1,0
bug delver,painted stone,1,1
bug delver,omni-tell,1,0
bug delver,omniscience combo,1,1
bug delver,no show,1,1
bug delver,mud,1,1
bug delver,mono-red sneak,1,1
bug delver,mono blue tempo,1,1
bug delver,miracleblade,1,0
bug delver,junk,1,0
bug delver,infect,1,1
bug delver,hexblade,1,1
bug delver,g/w/b midrange,1,1
bug delver,grixis delver,1,1
bug delver,glimpse combo,1,0
bug delver,four-color midrange,1,0
bug delver,four-color delver,1,1
bug delver,explorer pod,1,0
bug delver,dream halls,1,0
bug delver,death's shadow,1,0
b/u/g delver,burn,1,0
bug delver,bug midrange,1,1
b/u/g control,white weenie,1,1
bug control,valakut,1,1
bug control,u/r delver,1,1
b/u/g control,team america,1,1
bug control,shardless bug,1,0
bug control,pox,1,1
bug control,painter's grindstone,1,0
b/u/g control,no bant,1,1
bug control,nic fit,1,0
bug control,miracles,1,1
b/u/g control,metalworker,1,0
b/u/g control,merfolk,1,1
bug control,kobolds/glimpse,1,0
bug control,junk stoneblade,1,1
bug control,g/w/b midrange,1,1
bug control,four-color loam,1,0
bug control,explorer pod,1,1
b/u/g control,esper,1,0
bug control,deadguy ale,1,1
bug control,cephalid breakfast,1,1
b/u/g control,canadian threshold,1,1
b/u/g control,b/w aggro,1,1
b/u/g control,b/w aggro,1,1
b/u/g control,bant aggro,1,1
bug,bw tokens,1,0
b/r rack,zoo,1,0
b/r rack,reanimator,1,0
b/r rack,mono white,1,0
b/r rack,g/w/b rock,1,0
b/r/g control,threshold,1,0
b/r/g control,scepter chant,1,0
b/r/g control,elspeth control,1,0
b/r/g control,dredge,1,1
b/r control,zoo,1,0
b/r control,u/w tempo,1,0
b/r control,team america,1,0
b/r control,slivers,1,1
b/r control,new horizons,1,0
b/r control,junk,1,0
b/r control,enchantress,1,0
brain flames,stoneblade,1,1
brain flames,reanimator,1,1
brain flames,junk,1,1
brain flames,high tide,1,0
brain flames,elves,1,1
brain flames,dredge,1,0
b/r aggro,u/w stoneblade,1,1
b/r aggro,u/w landstill,1,0
b/r aggro,u/g madness,1,0
b/r aggro,training grounds,1,1
b/r aggro,tezzeret metalcraft,1,0
b/r aggro,tes,1,0
b/r aggro,stiflenought,1,0
b/r aggro,show and tell,1,0
b/r aggro,reanimator,1,0
b/r aggro,no green,1,1
b/r aggro,goblins,1,1
b/r aggro,dredge,1,1
b/r aggro,burn,1,1
boros,tes,1,0
boros,stiflenought,1,0
boros,no bant,1,0
boros,natural order,1,0
boros,lands,1,0
boros,high tide,1,1
boros,g/w aggro,1,1
boros,burning junk,1,1
boros aggro,survival,1,0
boros aggro,reanimator,1,1
boros aggro,painted stone,1,1
boros aggro,natural order,1,1
boros aggro,dream halls,1,0
boros aggro,dark zoo,1,0
bomberman,zoo,1,0
bomberman,u/w stoneblade,1,0
bomberman,u/b control,1,1
bomberman,terrageddon,1,1
bomberman,stiflenought,1,0
bomberman,stax,1,1
bomberman,pox,1,1
bomberman,merfolk,1,0
bomberman,infect,1,1
bomberman,esper control,1,0
bomberman,enchantress,1,1
bomberman,death and taxes,1,1
bomberman,burn,1,0
blue zoo,u/w tempo,1,1
blue zoo,reanimator,1,1
blue zoo,metalworker,1,1
blue zoo,maverick,1,0
blue zoo,lands,1,1
blue zoo,junk,1,1
blue zoo,goblins,1,0
blue zoo,enchantress,1,1
blue zoo,burn,1,0
blue skies,survival,1,0
blue skies,merfolk,1,0
blue skies,dredge,1,1
blue skies,counter-top,1,0
blue bounce,merfolk,1,0
blue bounce,eva green,1,0
blue aggro-control,team america,1,0
blue aggro-control,burn,1,0
blouses,stoneblade,1,0
blouses,miracles,1,1
blouses,burn,1,1
bloodchief ascension,tezzeret thopters,1,0
bloodchief ascension,stoneblade,1,0
blazing shoal,team america,1,1
blazing shoal,stoneblade,1,1
blazing shoal,rug visions,1,1
blazing shoal,hive mind,1,1
blazing shoal burn,stoneblade,1,0
blazing shoal burn,no bant,1,0
blazing shoal burn,manaless dredge,1,0
blazing shoal burn,hypergenesis,1,1
blazing shoal,burn,1,1
black weenie,red deck wins,1,0
black weenie,merfolk,1,0
black weenie,jund,1,0
black weenie,goblins,1,0
black weenie,faeries,1,1
black rats,stoneblade,1,0
black rack,u/w tempo,1,0
black rack,stax,1,1
black rack,new horizons,1,1
black rack,life,1,1
black rack,junk,1,1
black rack,jund,1,0
black rack,high tide,1,1
black rack,goblins,1,1
black rack,faeries,1,1
black rack,cephalid breakfast,1,0
black rack,boros,1,1
black orb,team america,1,1
black orb,no bant,1,0
black orb,landstill,1,1
black orb,high tide,1,1
black orb,dredge,1,0
black orb,burn,1,0
black aggro,tezzeret thopters,1,1
black aggro,team america,1,1
black aggro,stoneblade,1,0
black aggro,reanimator,1,0
black aggro,merfolk,1,0
black aggro,jedi emreka,1,0
black aggro,infect,1,0
black aggro,goblins,1,1
black aggro,elves,1,1
black aggro,dredge,1,0
birthing pod,omnitell,1,0
birthing pod,high tide,1,0
birthing pod,goblins,1,0
birthing pod,dream halls,1,0
big red,merfolk,1,1
big red,junk,1,0
big red,infect,1,0
big red,faeries,1,0
big red,dredge,1,1
big red,burn,1,0
big red,bug landstill,1,1
big naya,zoo,1,0
big naya,bug standstill,1,0
big junk,zoo,1,0
big junk,u/w stoneblade,1,0
big junk,u/w/r stoneblade,1,1
big junk,u/b visions,1,0
big junk,painted stone,1,1
big junk,no rug,1,0
b/g zenith,stoneblade,1,0
b/g zenith,rug delver,1,1
b/g zenith,merfolk,1,0
b/g zenith,maverick,1,1
b/g zenith,goblins,1,1
b/g stompy,zoo,1,1
b/g stompy,u/g ninja,1,1
b/g stompy,u/b rite,1,0
b/g stompy,twelvepost,1,0
b/g stompy,show and tell,1,1
b/g stompy,merfolk,1,1
b/g stompy,landstill,1,1
b/g stompy,lands,1,0
b/g stompy,g/w aggro,1,0
b/g stompy,dragon stompy,1,1
b/g smallpox,merfolk,1,0
b/g smallpox,enchantress,1,0
b/g smallpox,counter-top,1,1
b/g smallpox,burn,1,0
b/g rock,zoo,1,0
b/g rock,team america,1,1
b/g rock,naya scepter,1,1
b/g rock,landstill,1,0
b/g rock,enchantress,1,0
b/g rock,dragon stompy,1,1
b/g rock,counter-top,1,0
b/g rock,b/w weenie,1,1
b/g/r beatdown,zoo,1,1
b/g/r beatdown,r/g/b beatdown,1,0
b/g/r beatdown,lands,1,1
b/g/r beatdown,dredge,1,1
b/g pox,stoneblade,1,1
b/g pox,no bant,1,1
b/g pox,mono white stoneblade,1,1
b/g pox,merfolk,1,0
b/g pox,elves,1,0
b/g pox,blue zoo,1,1
b/g pox,battle of wits,1,1
b/g poison,miracles,1,1
b/g poison,maverick,1,0
b/g poison,lands,1,1
b/g poison,dredge,1,1
b/g poison,bug,1,0
b/g lock,mono white,1,0
b/g lock,merfolk,1,0
b/g lock,counter-top,1,0
b/g lock,b/w abyssal silence,1,1
b/g land destruction,scrambled eggs,1,0
b/g land destruction,mono blue control,1,1
b/g land destruction,kobolds!,1,1
b/g land destruction,g/w/b rock,1,0
b/g land destruction,dream halls,1,0
