Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15	
Boston Schatteman	W-U-B-G Reanimator	Suz Souza	2-0	George Jabbour	2-0	Omri Goldenberg	2-0	Matthew Whittle	2-1	Jaeden Woltjer	0-2	Giovanni Alberty	0-2	Jim Baxter	2-0	Zack Chatel	1-2	TonyScapone	2-0	Stefan116520	2-0	Ross Krueger	2-0	Michael Weaver	2-1	Jay Wojciechowski	2-0	Trevor Sharp	0-2	Mark Hollaar	2-0
Dan Staub	Mono-White Mystic Forge Combo	Jamie Davis	2-0	Andrew Mathes	2-1	Jeremy Cairl	2-1	Jeffrey Zhang	0-2	Cole Gabel	2-0	JeffChiu96	2-0	llmcfadde	2-0	P0stalweight	2-1	cmwilson252	0-2	Scott Blumenthal	2-0	ZeeSeeKay	0-2	paul lynch	2-0	LastClaireBender	0-2	Ramy Mansour	2-0	Zack Chatel	2-0
Trevor Sharp	Bant Nadu Midrange Combo	Louis Salerno	2-1	Jesse Campbell	0-2	seanhettich	2-1	Kyle Montgomery	0-2	AHNY	2-0	Sean Kelloff	2-1	isandornoT	0-2	Jason Song	2-1	Carter Hewitt	2-1	Joshua Cronk	2-0	Jaeden Woltjer	2-1	Giovanni Alberty	2-1	Shadowuni	2-0	Boston Schatteman	2-0	dukevitro	0-2
MatthewB3	Mono-Red	Justin Aldinger	2-1	MarkDriscoll	0-2	Phil Williams	2-0	Jake Abernathie	2-0	Anthony Valentine	1-2	Evan Heritage	2-0	gbabcock13	2-1	Emily Anders	2-1	Brian Swanson	2-1	Aaron Smith	2-1	RobinH	0-2	Wyland Tregear	0-2	Stefan Vastek	2-1	Alexandre Masson	2-0	Justice Wright	2-1
Chris Siroonian	Izzet Painter	Peter Schmidt	2-1	Emily Anders	2-0	Aced5	2-0	Ander12	1-2	Beau Barnette	0-2	Tyler Hawk	2-1	Adam Barnett	2-1	john slater	2-1	David Tobias	2-0	codyphillips1991	2-0	Ross Berkowitz	1-2	Zachary McAdoo	2-1	Christopher Wessel	0-2	john mccarty	2-0	arlin bonfiglio	2-0
cmwilson252	Izzet Delver	MrFringe89	1-1	Nathan Choi	2-1	Nivix27	1-1	Draygen	2-1	Theodore Lockman	2-1	Tyler Milmine	2-1	wcmatson	2-0	Ross Krueger	2-1	Dan Staub	2-0	rlesko	2-0	Clair Bigelow	1-1	Tom Basketball	0-2	Kemper Pogue	0-2	Beau Barnette	2-0	Steven Porter	2-1
James Hickle	Mono-Blue Cloudpost	Scott Bowe	2-0	Terry Stratton	2-0	Harry Hackett	2-0	William Greenwood	1-2	Caleb Rider	1-2	Jason Smith	2-0	JaajWiiw	2-0	David Barentsen	1-2	Brandon Hulings	2-1	Edward Arce	2-1	Samantha Murphy	1-2	Patrick O'Reilly	2-0	Zachary McAdoo	2-1	Jay Wojciechowski	2-0	James Schlott	2-0
Jesse Inman	Unknown	ERIC MARICH	1-2	ShaH1	2-0	Billy S	2-0	PonderingEmperor	2-1	john slater	1-2	Benjamin Hartman	2-0	Greg Mitchell	2-1	Gregory Berlinrut	2-0	Oliver Higgins	2-0	Giovanni Alberty	2-1	Tom Hertfelder	1-2	Jaron Haberstroh	2-0	Mario Martinez	2-0	Christopher Wessel	2-1	Robbie_2	1-2
Eric Hadam	Mono-Red Stompy	Damian Smith	2-0	Evan Timmons	1-2	WadB	2-1	Jeff Jao	2-0	MarkDriscoll	0-2	Steve Rogers	2-0	Colin Logan	2-0	BoshNRoll_Brian	0-2	Patrick Cunningham	2-0	Jeremy Cairl	2-0	Jonathan Sakoi	2-1	Spencer Asral	2-0	Michael Reed	0-2	George Magee	2-0	Jaeseok Cho	2-0
Julian Jakobovits	W-U-B-G Reanimator	Brian Sheets	0-2	rozzerobc	2-1	Alan Donoho	2-1	Ben Wernberg	2-0	Bkud51	2-1	Trevor Cordingley	1-2	Matthew Storie	2-0	Christopher Wessel	0-2	Christopher Borgerding	2-0	Jeff Jao	2-1	Justin 'IamActuallyLvL1' Gennari	2-1	David Barentsen	2-0	Jacob Murray	0-2	Anthony Valentine	2-1	Robert Hayes	2-1
Mario Martinez	W-U-B-G Reanimator	Jeffrey Kramer	2-0	Devin Slater	0-2	Trevor Shymske	1-2	Mason Bellamy	2-0	Dan Ford	2-1	Reno07	2-0	JulesP	2-1	Stephen Seliskar	2-0	Ander12	2-0	Tommy Wray	1-2	Trevor Cordingley	2-1	Jared Lefkowitz	2-1	Jesse Inman	0-2	Isaac Morgan	2-0	Jonathan Rojo	2-1
Tyler Klein	Colorless Mystic Forge Combo	Kian Tanner	1-2	Kirkland Dean	2-1	John Slimak	2-1	Sean Kelloff	0-2	Henry Jaensch	2-1	Stephen Dupal	2-0	Anthony Valentine	2-0	Kyle Dorgan	0-2	Olivier Hamel	2-1	Evan Jasinkiewicz	0-2	Daniel Sommerfeld	2-1	Hart Horton	2-1	Khurtz11	2-0	Pieter Tubergen	2-1	Samantha Murphy	2-1
ThePrinceofPauper83	W-U-B-G Reanimator	logan margaritis	2-0	Ben Wernberg	2-0	Veloxmortis	1-1	vanillaDI	2-1	Ethan Dunn	0-2	JamesKisau	2-0	Wizard_Dueler	2-0	ethantc1999	1-2	legacygamingkc	2-0	Jacob Woods	2-1	Robbie_2	1-1	varelandrew	0-2	James Pogue	2-0	rlesko	2-0	Clair Bigelow	2-1
RobinH	Mono-White Mystic Forge Combo	Chris Schiber	2-1	Matthew Falchetti	2-0	LukeM2	2-0	Michael Reed	2-1	Thomas Genzman	2-0	Joshua White	2-1	LeianXu	1-2	Ben Fraley	2-1	Wyland Tregear	0-2	MatP21	2-1	MatthewB3	2-0	Tony Morris	2-0	Sergei Pourmal	1-1	Jacob Kolessar	0-2	PatrickVincent	0-2
Sergei Pourmal	Unknown	David Nebrasky	2-1	Leland Machen	2-1	Camari Bolger	1-2	Scott Waldron	2-1	godseerker	2-1	Ben Hewitt	0-2	Ethan Mcgillis	2-0	MarkDriscoll	2-1	Zachary McAdoo	2-0	Sam Higgins	2-1	LastClaireBender	2-0	P0stalweight	2-1	RobinH	1-1	Johan Larsson	0-2	Joseph Hunt	0-2
Ross Berkowitz	Izzet Delver	Corey Williams	2-1	Gregorio Soriente	2-0	LeianXu	0-2	nickrainey	2-0	NickEldering	2-1	WastedTravel	2-0	Kellan Drogowski	2-0	Matthew Vook	2-1	Sam Castrucci	2-0	Jacob Kolessar	1-1	Chris Siroonian	2-1	Adam Kulp	1-2	Hank Zhong	0-2	Sam Higgins	1-2	varelandrew	2-0
Ethan Dunn	W-U-B-G Reanimator	Adam Twardowski	1-1	Andrew Lawrence	2-0	Ryan Kelly	2-0	christopher desa	2-0	ThePrinceofPauper83	2-0	LastClaireBender	2-0	Roland Chang	0-2	Reuben Musselman	1-2	Brandon Chang	2-1	Jason Smith	2-0	Anderson  LeClair	2-1	Charles Noyce	2-0	Jacob Kolessar	1-2	Joseph Hunt	1-2	Jacob Woods	2-0
Alex Yatsenko	W-U-B-G Reanimator	Drew Brost	2-0	Jay Wojciechowski	1-2	Michael Ewanyk	2-1	JulesP	2-0	Lorkac	1-1	J W	2-1	legacygamingkc	1-2	LeithMeador	2-1	PL Boudreault	2-0	Logan Hsia	1-2	Jacob Woods	2-0	Anderson  LeClair	2-0	PatrickVincent	0-2	ethantc1999	2-0	Charles Noyce	2-0
nickrainey	Izzet Delver	Josh Coffey	0-2	Jaron Haberstroh	2-0	Dominick Paolercio	2-1	Ross Berkowitz	0-2	Ian Files	0-2	Draygen	2-1	kenton najdzien	2-1	Ameth123	2-1	Kevin Van	2-1	David Tobias	2-0	Zachary McAdoo	1-2	Charlie Arto	2-0	Kyle Dorgan	2-0	P0stalweight	2-1	hrwk	0-0
hrwk	W-U-B-G Cephalid Breakfast	Sullivan Brophy	2-1	Mike Jones	1-2	Reprintdarkritual	2-0	Anthony Brown	1-2	jscamihorn	2-1	Camron Jolley	2-1	paul lynch	0-2	Velgrim	2-1	Dustin Smith	2-0	llmcfadde	2-1	Matthew Vook	2-0	matthieu dupuy	2-0	Eric Farmer	2-1	Eric Ratkowski	1-2	nickrainey	0-0
