Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15		Round 16		Round 17	
Rodrigo Togores	Cloudpost Ramp	MatteoM2	2-0	Coach_Gorlo23	2-0	Laurent GADCHAUX	2-1	Magicskeleton	0-2	DanielTochacek	2-0	Rodmanbcn	2-0	Parker Southwick	2-1	Diego Badinotti	2-0	AleM160	1-2	Dario Moreno	2-1	Basti_B	2-0	PatrizioG	1-2	Fynn Karstens	1-2	GiuC11	2-0						
Basti_B	W-U-B-G	DanielHee86	2-0	Léo Thiémard	2-1	jermolestre63	1-0	DamA3	2-0	Timo Bertram	2-1	Riccardo Bragato	2-0	Timo Zeyer	0-2	SteS86	2-0	Zafferix	1-2	Philipp Roushani	2-1	Rodrigo Togores	0-2	Jordy Nieuw	1-2	Supreme90	2-0	CarB51	2-1						
LuiLav	Dimir Tempo	Eric Ratkowski	2-0	AndR64	2-0	Cip86	2-1	PabO3	1-2	Roland Chang	2-0	pedre	2-1	DenisCerny	2-0	Upredaturi	2-1	Giovasc91	2-0	jerko jovic	1-2	Timo Zeyer	1-2	Justin 'IamActuallyLvL1' Gennari	1-2	Cena	2-0	Andrea Mengucci	2-1						
Svaca	Decklist	Peter Gärtner	2-0	BoM	2-0	LeoA7	2-0	Federico_Bonade	2-0	Riccardo Cicerone	2-1	Yoniariel	1-2	Matteo Di Gangi	1-2	EmaC8	2-0	Rcamargo	2-1	Aureliano Babbi	2-0	Francois LIROLA	1-2	GabR20	1-2	Bobovic	2-0	jerko jovic	2-0						
Andreas Hofverberg	Cloudpost Ramp	Timon Barlag	2-1	GiaF11	2-0	EMILE98	0-2	TristanoM	1-2	Ghost94	2-1	justjasper	2-0	cloudedmirror	2-0	EmaA1	2-0	Stanisz	2-0	Tomek Hanik	2-1	Eric Ratkowski	0-2	PaoP6	2-1	GabR20	2-0	Dafne17	0-2						
SteS86	Oops, All Spells!	Gianluca Spagna	2-0	Joe Brennan	2-0	Terrence Serraarens	1-2	MM17	2-0	Christopher Passow	2-0	DamA3	2-0	ClaS18	2-1	Basti_B	0-2	Preslav Krastev	2-0	GiovanniDemaio	2-1	Timo Bertram	2-0	Dafne17	1-2	Eric Ratkowski	0-2	Francois LIROLA	2-0						
LucaMassimoRainieri	Dimir Tempo	DevA2	2-0	Enrico Donisi	1-2	Florian Marx	2-1	t1drs	1-2	alpi	2-1	AleB149	2-0	GianRampa	2-0	Menomens	2-1	Dod2gaia	2-0	René Hubrich	2-0	Kheldarion	0-2	Preslav Krastev	0-2	Philipp Roushani	2-0	Kathal09	2-0						
GabR20	Dimir Tempo	LeoB21	2-0	Niklas Holtmann	0-2	FluGruger	2-0	Gazzo91	2-1	Emanuele Marcozzi	2-1	SebastianF	0-2	EriK34	2-0	jbfmtg	2-1	MartinoB	2-0	Upredaturi	1-2	Dod2gaia	2-0	Svaca	2-1	Andreas Hofverberg	0-2	Luca Fasoli	2-0						
andrea riva	UR Aggro		Bye	Malte Hartmann	1-2	Sebastian Sachse	2-1	Shin Tomizawa	2-0	Tobi Andersson-Wipf	2-0	unstar	2-1	CorvOscuro	2-1	Matt Girardi	1-2	Sébastien Fayand	2-1	Greiman	1-2	René Hubrich	0-2	Romain CORGNOLO	2-0	Tugsteno	2-0	GiovanniDemaio	2-0						
Jordy Nieuw	Decklist		Bye	Francisco José Guerrero	0-2	Tugsteno	1-2	AndreaGarofalo	2-1	chrivittoni	2-1	Maciej Mikłas	2-0	Louis Guichard	2-0	ninoderyckere	2-0	Wouter Segaar	2-0	ClaS18	0-2	Kathal09	1-0	Basti_B	2-1	Lucas Mietton	2-0	Fynn Karstens	0-2						
BoshNRoll_Brian	Reanimator	AleM2298	2-0	Eike Bettelhäuser	2-0	Tommaso Ciampolini	2-0	Andrea Mengucci	0-2	Gimmic91	2-0	Riccardo Cicerone	2-0	Luca Fasoli	1-2	Marco Liotta	2-1	Valentino Bisogno	0-2	Gazzo91	2-0	Lorenzo Donati	2-0	Philipp Roushani	2-0	René Hubrich	0-2	Bravo Gabri	2-1						
Dod2gaia	Decklist	spankstar	2-0	RomM4	2-0	Symon189	2-0	dklatt	0-2	Lukas Krauß	0-2	Yann EAT	2-0	Alban Bodurri	2-0	Jonas Schernberger	2-0	LucaMassimoRainieri	0-2	Tim Matzke	2-0	GabR20	0-2	AngusMTG	2-1	Upredaturi	2-1	Valentino Bisogno	2-0						
Preslav Krastev	Reanimator	Michelino	0-2	Rudokant	2-0	Fox82	2-1	Korbinian John	0-2	Vlavialle	2-1	Michele Gherardi ⭕️	2-1	FedT1	2-0	Luca Ferrari	2-1	SteS86	0-2	AngusMTG	2-0	Edoardo Mazzuferi	2-1	LucaMassimoRainieri	2-0	Timo Zeyer	2-0	René Hubrich	0-2						
MartinoB	Prova	RicM64	2-1	Terrence Serraarens	1-2	KevinKahrer	2-1	AleB149	2-1	YANN BELMER	2-1	CorvOscuro	1-2	Ben Belmans	2-0	Jhon Lionetti	2-0	GabR20	0-2	Erik Bond	2-0	Andrew Smith	2-0	Supreme90	2-1	Francois LIROLA	2-0	AngelCrazy	0-2						
Redouane Bouarar	Doomsday	mopanda	2-0	Upredaturi	0-2	Palpatine_66	0-2	AndD47	2-1	Gio096	2-0	Gianluca Rodriquez	2-1	Richard Jursa	2-1	DanielTochacek	2-0	Matteo Di Gangi	1-2	Rcamargo	2-0	Diego Badinotti	2-1	Cena	2-0	EMILE98	0-2	Justin 'IamActuallyLvL1' Gennari	2-1						
Michelino	Jeskai	Preslav Krastev	2-0	Ander Elosegi	2-1	Tobi Andersson-Wipf	0-2	AndR64	0-2	Frank Roth	2-1	SpookyJack	2-0	Iacopo Pineschi	2-1	LuRoX	2-1	Romain CORGNOLO	1-2	Diogo Escoval Martins	2-0	JonasW1	2-1	EMILE98	0-2	PaoP6	2-0	FraL39	2-0						
Wouter Segaar	Mardu Aggro	Gregory Millon	2-0	Michele Gherardi ⭕️	1-2	Alberto Pianetta	2-1	Jeroen Pacolet	2-1	AndR64	1-2	Joakim Villa Aarseth	2-0	SamuelS	2-1	Taneli Ridell	2-1	Jordy Nieuw	0-2	Jin Liu	2-1	CarB51	2-0	Alexi Krochmaluk	1-2	Timo Bertram	2-0	Adrian Rivas	2-0						
Ilya Shcherbakov	Cephalid Breakfast	Neilo	2-1	dbellanger	2-0	Stefano Pezzella	2-0	tobyb	1-1	CooperW	0-2	Jose Alascio	2-1	JohS1	2-1	Enrico Gobetti	2-0	jerko jovic	0-2	Umby85	2-0	Fynn Karstens	2-0	Claudio Rossi	2-0	CorvOscuro	1-1	Dario Rabolini	0-2						
Claudio Rossi	Cloudpost Ramp	StephanK	2-0	JonasW1	0-2	SpookyJack	2-1	SamKmiec	2-1	Matys007	2-0	Jens Platz 🔥⛺️	2-0	MatteoBraghiroli	2-0	Jack Doyle	1-1	Adrian Rivas	2-1	GioB7	2-0	Samuele Dagani	1-2	Ilya Shcherbakov	0-2	Umby85	2-1	CorvOscuro	0-2						
Robert Möttingdörfer	Cloudpost Ramp	MarcoFermani	2-1	Andrew Smith	2-0	Simone Coppola	2-0	Matt Girardi	0-2	Léo Thiémard	2-0	MatteoBraghiroli	0-2	Julien Medici	2-1	Don Mars	2-1	Dario Rabolini	1-1	Carmine Molinario	2-1	Alexander Kohles	1-2	Jan Schmidt	2-1	tobyb	2-1	Francesco Gregori	1-2						
Jan Schmidt	Coveted Jewel		Bye	Lucas Mietton	0-2	djeffetutile	2-1	Richard Jursa	2-1	Fynn Karstens	2-1	Benedict Bienias	2-0	LorenzoCer	1-1	JonM68	2-1	Umby85	2-0	Jack Doyle	1-2	tobyb	0-2	Robert Möttingdörfer	1-2	Carmine Molinario	2-0	Michel Kohn	2-0						
tobyb	Dimir Tempo	Drymachine	2-0	PeachBulls	2-1	shaden	2-0	Ilya Shcherbakov	1-1	AvishaiElma	2-1	Stefan Gussenhoven	0-2	Ola Bevanda Roxendal	2-0	CooperW	2-0	Carmine Molinario	2-1	Samuele Dagani	0-2	Jan Schmidt	2-0	GioB7	0-2	Robert Möttingdörfer	1-2	Umby85	2-1						
Luca Verdiani	UR Aggro	Diego Jiménez Tamame	2-1	Mattia Panico	1-2	SambaD	2-0	JDK	2-1	Tim Langer	2-1	JohS1	1-1	Alban Genest	2-1	LorenzoCer	2-0	Riccardo Scartaghiande	1-2	Michel Kohn	2-1	GioB7	0-2	Francesco Gregori	0-2	Gazzo91	2-0	Dario Moreno	2-1						
Terrence Serraarens	UR Aggro	Milos Mrkic	2-0	MartinoB	2-1	SteS86	2-1	Gareth Whitham	2-0	CorvOscuro	2-1	Lorenzo Donati	2-0	Eduardo Ancini	2-0	Samuele Dagani	1-2	Yoniariel	2-0	Niccolo' Olivieri	0-2	Justin 'IamActuallyLvL1' Gennari	2-1	Niklas Holtmann	0-2	Matteo Di Gangi	0-2	Alexander Kohles	0-2						
