Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Lórien Revealed                                          |    74 | 10.98% |         106 |           0 |    319-315-9 | 50.31% | 2497-2501-81 |  49.96% |  285-281-9 |    50.35% |
| Blue Elemental Blast                                     |    73 | 10.83% |           0 |          99 |   298-290-14 | 50.66% | 2518-2526-76 |  49.92% | 266-258-12 |    50.75% |
| Mox Opal                                                 |    73 | 10.83% |         185 |           1 |    291-311-8 | 48.36% | 2525-2505-82 |  50.20% |  251-271-8 |    48.11% |
| Show and Tell                                            |    72 | 10.68% |         248 |          36 |    277-312-4 | 47.05% | 2539-2504-86 |  50.34% |  237-272-4 |    46.59% |
| Abrade                                                   |    71 | 10.53% |           1 |         103 |    256-306-6 | 45.60% | 2560-2510-84 |  50.49% |  232-282-6 |    45.19% |
| Chrome Mox                                               |    71 | 10.53% |         209 |           0 |    276-310-5 | 47.12% | 2540-2506-85 |  50.33% |  251-285-5 |    46.86% |
| Dragon's Rage Channeler                                  |    71 | 10.53% |         284 |           0 |    313-291-6 | 51.80% | 2503-2525-84 |  49.78% |  285-263-6 |    51.99% |
| Boseiju, Who Endures                                     |    70 | 10.39% |          73 |          38 |   286-290-10 | 49.66% | 2530-2526-80 |  50.04% | 259-263-10 |    49.62% |
| Karn, the Great Creator                                  |    70 | 10.39% |         267 |           0 |    273-293-7 | 48.25% | 2543-2523-83 |  50.19% |  246-266-7 |    48.07% |
| Containment Priest                                       |    69 | 10.24% |          12 |         112 |   303-285-14 | 51.50% | 2513-2531-76 |  49.82% | 274-256-10 |    51.67% |
| Price of Progress                                        |    69 | 10.24% |           4 |          90 |    307-287-9 | 51.66% | 2509-2529-81 |  49.80% |  273-253-7 |    51.88% |
| Thought-Knot Seer                                        |    68 | 10.09% |         260 |           5 |    268-274-6 | 49.45% | 2548-2542-84 |  50.06% |  242-248-6 |    49.40% |
| Unholy Heat                                              |    68 | 10.09% |          83 |          40 |    290-277-6 | 51.13% | 2526-2539-84 |  49.87% |  267-254-6 |    51.23% |
| Marsh Flats                                              |    67 |  9.94% |         136 |           0 |   327-272-16 | 54.47% | 2489-2544-74 |  49.46% |  296-241-6 |    55.06% |
| Delver of Secrets // Insectile Aberration                |    66 |  9.79% |         248 |           0 |    279-271-7 | 50.72% | 2537-2545-83 |  49.92% |  255-247-7 |    50.79% |
| Eye of Ugin                                              |    65 |  9.64% |         189 |           0 |    258-261-6 | 49.71% | 2558-2555-84 |  50.03% |  233-236-6 |    49.68% |
