Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Fireflux Squad                                           |     1 |  0.15% |           3 |           0 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Food Chain                                               |     1 |  0.15% |           4 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Formless Genesis                                         |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Fortune, Loyal Steed                                     |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Frenzied Baloth                                          |     1 |  0.15% |           4 |           0 |        6-4-0 | 60.00% | 2810-2812-90 |  49.98% |      6-4-0 |    60.00% |
| From the Ashes                                           |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| From the Catacombs                                       |     1 |  0.15% |           1 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Fumble                                                   |     1 |  0.15% |           0 |           1 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Gaius van Baelsar                                        |     1 |  0.15% |           0 |           1 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Galvanic Blast                                           |     1 |  0.15% |           0 |           2 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Geier Reach Sanitarium                                   |     1 |  0.15% |           1 |           0 |        3-3-1 | 50.00% | 2813-2813-89 |  50.00% |      3-3-1 |    50.00% |
| Gempalm Incinerator                                      |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Ghalta, Stampede Tyrant                                  |     1 |  0.15% |           1 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Ghirapur Aether Grid                                     |     1 |  0.15% |           0 |           1 |       12-3-1 | 78.12% | 2804-2813-89 |  49.92% |     12-3-1 |    78.12% |
| Ghost Lantern // Bind Spirit                             |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Glarb, Calamity's Augur                                  |     1 |  0.15% |           1 |           0 |        2-6-1 | 27.78% | 2814-2810-89 |  50.04% |      2-6-1 |    27.78% |
| Glistening Deluge                                        |     1 |  0.15% |           0 |           1 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Goblin Guide                                             |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Goblin Lackey                                            |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Goblin Piledriver                                        |     1 |  0.15% |           2 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Goblin Warchief                                          |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| God-Pharaoh's Statue                                     |     1 |  0.15% |           0 |           1 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Godless Shrine                                           |     1 |  0.15% |           1 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Golbez, Crystal Collector                                |     1 |  0.15% |           3 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Golos, Tireless Pilgrim                                  |     1 |  0.15% |           4 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Gravecrawler                                             |     1 |  0.15% |           4 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Green Slime                                              |     1 |  0.15% |           0 |           3 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Gut Shot                                                 |     1 |  0.15% |           0 |           2 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Hallowed Fountain                                        |     1 |  0.15% |           1 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Hedron Crab                                              |     1 |  0.15% |           2 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Hidden Cataract                                          |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Hidden Nursery                                           |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Ichor Wellspring                                         |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Incinerate                                               |     1 |  0.15% |           1 |           0 |        0-1-0 |  0.00% | 2816-2815-90 |  50.01% |      0-1-0 |     0.00% |
| Infernal Reckoning                                       |     1 |  0.15% |           0 |           2 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Inspired Tinkering                                       |     1 |  0.15% |           0 |           1 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Inventors' Fair                                          |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Jacked Rabbit                                            |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Jaspera Sentinel                                         |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Kiora's Dismissal                                        |     1 |  0.15% |           0 |           2 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Knight of Autumn                                         |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Kozilek, Butcher of Truth                                |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Krark-Clan Ironworks                                     |     1 |  0.15% |           3 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Krosan Grip                                              |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Kuldotha Forgemaster                                     |     1 |  0.15% |           3 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Lava Spike                                               |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Legion Warboss                                           |     1 |  0.15% |           3 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Light Up the Stage                                       |     1 |  0.15% |           4 |           0 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
| Lim-Dûl's Vault                                          |     1 |  0.15% |           3 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Living Death                                             |     1 |  0.15% |           2 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Lumbering Megasloth                                      |     1 |  0.15% |           2 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Maelstrom Wanderer                                       |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Maestros Theater                                         |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Manabond                                                 |     1 |  0.15% |           4 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Manipulate Fate                                          |     1 |  0.15% |           3 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Masked Meower                                            |     1 |  0.15% |           3 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Massacre                                                 |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Metalworker                                              |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Metamorphosis Fanatic                                    |     1 |  0.15% |           2 |           0 |        3-2-2 | 57.14% | 2813-2814-88 |  49.99% |      3-2-2 |    57.14% |
| Meteor Golem                                             |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Mightform Harmonizer                                     |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Minamo, School at Water's Edge                           |     1 |  0.15% |           1 |           0 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Mind Over Matter                                         |     1 |  0.15% |           2 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Mind's Desire                                            |     1 |  0.15% |           0 |           1 |        8-3-0 | 72.73% | 2808-2813-90 |  49.96% |      8-3-0 |    72.73% |
| Minor Misstep                                            |     1 |  0.15% |           1 |           0 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Minsc & Boo, Timeless Heroes                             |     1 |  0.15% |           0 |           1 |        7-4-0 | 63.64% | 2809-2812-90 |  49.97% |      7-4-0 |    63.64% |
| Mistcaller                                               |     1 |  0.15% |           0 |           2 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Misthollow Griffin                                       |     1 |  0.15% |           3 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Momo's Heist                                             |     1 |  0.15% |           0 |           1 |        0-4-0 |  0.00% | 2816-2812-90 |  50.03% |      0-4-0 |     0.00% |
| Moonsilver Key                                           |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Mossfire Valley                                          |     1 |  0.15% |           2 |           2 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Mosswort Bridge                                          |     1 |  0.15% |           0 |           2 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Mox Amber                                                |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Munitions Expert                                         |     1 |  0.15% |           3 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Mutated Cultist                                          |     1 |  0.15% |           4 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Myr Retriever                                            |     1 |  0.15% |           3 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Necrodominance                                           |     1 |  0.15% |           1 |           0 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
| Necromentia                                              |     1 |  0.15% |           0 |           2 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Nexus of Fate                                            |     1 |  0.15% |           0 |           1 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Nimble Obstructionist                                    |     1 |  0.15% |           1 |           0 |        7-3-1 | 68.18% | 2809-2813-89 |  49.96% |      7-3-1 |    68.18% |
| Niv-Mizzet, Parun                                        |     1 |  0.15% |           0 |           1 |        8-6-0 | 57.14% | 2808-2810-90 |  49.98% |      8-6-0 |    57.14% |
| Noise Marine                                             |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Not of This World                                        |     1 |  0.15% |           0 |           2 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Noxious Revival                                          |     1 |  0.15% |           0 |           1 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Oblivion Sower                                           |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Oblivion Stone                                           |     1 |  0.15% |           1 |           1 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Obsidian Charmaw                                         |     1 |  0.15% |           0 |           4 |        0-1-0 |  0.00% | 2816-2815-90 |  50.01% |      0-1-0 |     0.00% |
| Obstinate Baloth                                         |     1 |  0.15% |           0 |           4 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Oliphaunt                                                |     1 |  0.15% |           3 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Omen of the Sea                                          |     1 |  0.15% |           1 |           0 |        5-3-1 | 61.11% | 2811-2813-89 |  49.98% |      5-3-1 |    61.11% |
| On Thin Ice                                              |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Ouroboroid                                               |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Overmaster                                               |     1 |  0.15% |           0 |           2 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Overwhelming Surge                                       |     1 |  0.15% |           0 |           2 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Paradigm Shift                                           |     1 |  0.15% |           3 |           0 |        7-4-0 | 63.64% | 2809-2812-90 |  49.97% |      7-4-0 |    63.64% |
| Past in Flames                                           |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Patron Wizard                                            |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Peter Parker's Camera                                    |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Phantom Blade                                            |     1 |  0.15% |           1 |           0 |        0-4-0 |  0.00% | 2816-2812-90 |  50.03% |      0-4-0 |     0.00% |
| Phyrexian Revoker                                        |     1 |  0.15% |           0 |           2 |        3-3-0 | 50.00% | 2813-2813-90 |  50.00% |      3-3-0 |    50.00% |
| Phyrexian Tower                                          |     1 |  0.15% |           1 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Portal to Phyrexia                                       |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Portent of Calamity                                      |     1 |  0.15% |           2 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Powder Keg                                               |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Primeval Titan                                           |     1 |  0.15% |           3 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Profane Tutor                                            |     1 |  0.15% |           2 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Professor of Symbology                                   |     1 |  0.15% |           2 |           0 |       10-4-0 | 71.43% | 2806-2812-90 |  49.95% |     10-4-0 |    71.43% |
| Putrid Imp                                               |     1 |  0.15% |           4 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Pyrite Spellbomb                                         |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Pyroclasm                                                |     1 |  0.15% |           0 |           1 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Quest for the Necropolis                                 |     1 |  0.15% |           2 |           2 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Quicken                                                  |     1 |  0.15% |           1 |           0 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Radstorm                                                 |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Raffine's Tower                                          |     1 |  0.15% |           1 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Rampaging War Mammoth                                    |     1 |  0.15% |           0 |           2 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Ratchet Bomb                                             |     1 |  0.15% |           0 |           1 |        0-3-1 | 12.50% | 2816-2813-89 |  50.03% |      0-3-1 |    12.50% |
| Razorgrass Ambush // Razorgrass Field                    |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Reckless Pyrosurfer                                      |     1 |  0.15% |           2 |           0 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Reforge the Soul                                         |     1 |  0.15% |           3 |           1 |        8-3-0 | 72.73% | 2808-2813-90 |  49.96% |      8-3-0 |    72.73% |
| Regal Force                                              |     1 |  0.15% |           1 |           0 |        2-7-0 | 22.22% | 2814-2809-90 |  50.04% |      2-7-0 |    22.22% |
| Rending Volley                                           |     1 |  0.15% |           0 |           1 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Repeal                                                   |     1 |  0.15% |           2 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Restless Reef                                            |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Restless Vinestalk                                       |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Revitalizing Repast // Old-Growth Grove                  |     1 |  0.15% |           1 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Rift Bolt                                                |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Ripples of Undeath                                       |     1 |  0.15% |           2 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Rishadan Dockhand                                        |     1 |  0.15% |           2 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Rishadan Port                                            |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Roiling Vortex                                           |     1 |  0.15% |           0 |           2 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Rootpath Purifier                                        |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Rundvelt Hordemaster                                     |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Salvaging Station                                        |     1 |  0.15% |           0 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Sanctifier en-Vec                                        |     1 |  0.15% |           0 |           1 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Sardian Avenger                                          |     1 |  0.15% |           0 |           2 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Scale Up                                                 |     1 |  0.15% |           1 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Scavenging Ooze                                          |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Scrap Trawler                                            |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Scrawling Crawler                                        |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Sea Gate Restoration // Sea Gate, Reborn                 |     1 |  0.15% |           4 |           0 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Sea's Claim                                              |     1 |  0.15% |           3 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Seal of Removal                                          |     1 |  0.15% |           1 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Seam Rip                                                 |     1 |  0.15% |           0 |           2 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Searing Blaze                                            |     1 |  0.15% |           0 |           2 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Searing Wind                                             |     1 |  0.15% |           0 |           1 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Searslicer Goblin                                        |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Secluded Starforge                                       |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Sedgemoor Witch                                          |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Serra's Sanctum                                          |     1 |  0.15% |           3 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Shardless Agent                                          |     1 |  0.15% |           4 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Shifting Woodland                                        |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Simic Growth Chamber                                     |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Sinkhole                                                 |     1 |  0.15% |           0 |           2 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Skewer the Critics                                       |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Skirk Prospector                                         |     1 |  0.15% |           1 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Skittering Cicada                                        |     1 |  0.15% |           2 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Skysovereign, Consul Flagship                            |     1 |  0.15% |           0 |           1 |        0-2-0 |  0.00% | 2816-2814-90 |  50.02% |      0-2-0 |     0.00% |
| Slickshot Show-Off                                       |     1 |  0.15% |           2 |           0 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
| Sling-Gang Lieutenant                                    |     1 |  0.15% |           2 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Slogurk, the Overslime                                   |     1 |  0.15% |           3 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Smash to Smithereens                                     |     1 |  0.15% |           0 |           3 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Sokenzan, Crucible of Defiance                           |     1 |  0.15% |           1 |           0 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Solar Transformer                                        |     1 |  0.15% |           2 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Solitary Confinement                                     |     1 |  0.15% |           2 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Sorcerous Spyglass                                       |     1 |  0.15% |           2 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Soul Partition                                           |     1 |  0.15% |           0 |           1 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Spellseeker                                              |     1 |  0.15% |           4 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Spine of Ish Sah                                         |     1 |  0.15% |           0 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Spirebluff Canal                                         |     1 |  0.15% |           2 |           0 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Spirit Water Revival                                     |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Spirit of the Labyrinth                                  |     1 |  0.15% |           4 |           0 |        0-4-0 |  0.00% | 2816-2812-90 |  50.03% |      0-4-0 |     0.00% |
| Staff of Domination                                      |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Stalactite Stalker                                       |     1 |  0.15% |           4 |           0 |        2-7-0 | 22.22% | 2814-2809-90 |  50.04% |      2-7-0 |    22.22% |
| Starting Town                                            |     1 |  0.15% |           2 |           0 |       10-4-0 | 71.43% | 2806-2812-90 |  49.95% |     10-4-0 |    71.43% |
| Sterling Grove                                           |     1 |  0.15% |           3 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Strategic Betrayal                                       |     1 |  0.15% |           0 |           2 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Stronghold Gambit                                        |     1 |  0.15% |           0 |           4 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Subtlety                                                 |     1 |  0.15% |           0 |           2 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Sulfurous Springs                                        |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
