Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Mutated Cultist                                              |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Sacred Ground                                                |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Ifnir Deadlands                                              |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Symbiote Spider-Man                                          |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Spider-Woman, Stunning Savior                                |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Leyline of Vitality                                          |     1 |  0.11% |         3-6-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Scion of Draco                                               |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           4 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Curse of Exhaustion                                          |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Sarevok's Tome                                               |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Replenish                                                    |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| To the Slaughter                                             |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| The Meathook Massacre                                        |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Sphere of Annihilation                                       |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Chandra, Awakened Inferno                                    |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            1-1-0 |          50.00% |
| Runed Halo                                                   |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Consecrate Land                                              |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Ghostly Prison                                               |     1 |  0.11% |         3-6-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Pox                                                          |     1 |  0.11% |         3-5-1 | 38.89% |           2 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-1 |          75.00% |
| Barren Moor                                                  |     1 |  0.11% |         3-5-1 | 38.89% |           1 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-1 |          75.00% |
| Currency Converter                                           |     1 |  0.11% |         3-5-1 | 38.89% |           1 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-1 |          75.00% |
| Dream Halls                                                  |     1 |  0.11% |         3-5-0 | 37.50% |           4 |           0 |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            0-1-0 |           0.00% |
| Conflux                                                      |     1 |  0.11% |         3-5-0 | 37.50% |           4 |           0 |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            0-1-0 |           0.00% |
| Abdel Adrian, Gorion's Ward                                  |     1 |  0.11% |         3-5-0 | 37.50% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Vesuva                                                       |     1 |  0.11% |         3-4-2 | 44.44% |           2 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Marionette Apprentice                                        |     1 |  0.11% |         3-4-0 | 42.86% |           4 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Searslicer Goblin                                            |     1 |  0.11% |         3-4-0 | 42.86% |           4 |           0 |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Moria Marauder                                               |     1 |  0.11% |         3-4-0 | 42.86% |           3 |           0 |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Exalted Sunborn                                              |     1 |  0.11% |         3-4-0 | 42.86% |           3 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Secret Identity                                              |     1 |  0.11% |         3-4-0 | 42.86% |           3 |           0 |      0-0-0 |       --- |        2-0-0 |      100.00% |            0-0-0 |             --- |
| Planar Genesis                                               |     1 |  0.11% |         3-4-0 | 42.86% |           2 |           0 |      1-0-0 |   100.00% |        1-1-0 |       50.00% |            0-2-0 |           0.00% |
| Spider-Sense                                                 |     1 |  0.11% |         3-4-0 | 42.86% |           1 |           0 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Takenuma, Abandoned Mire                                     |     1 |  0.11% |         3-4-0 | 42.86% |           1 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Minamo, School at Water's Edge                               |     1 |  0.11% |         3-4-0 | 42.86% |           1 |           0 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Tifa Lockhart                                                |     1 |  0.11% |         3-4-0 | 42.86% |           1 |           0 |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Conjurer's Bauble                                            |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           3 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Absolute Grace                                               |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           2 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Masked Vandal                                                |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Scavenger Regent // Exude Toxin                              |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Venerated Rotpriest                                          |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-0-0 |       --- |        2-0-0 |      100.00% |            0-0-0 |             --- |
| Purify the Grave                                             |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Damnation                                                    |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Harvester of Misery                                          |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      1-0-0 |   100.00% |        0-2-0 |        0.00% |            0-1-0 |           0.00% |
| Cathar Commando                                              |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Ugin, the Ineffable                                          |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Agent of Treachery                                           |     1 |  0.11% |         3-4-0 | 42.86% |           0 |           1 |      0-0-0 |       --- |        1-2-0 |       33.33% |            0-0-0 |             --- |
| Phlage, Titan of Fire's Fury                                 |     1 |  0.11% |         3-3-1 | 50.00% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Laboratory Maniac                                            |     1 |  0.11% |         3-3-1 | 50.00% |           0 |           1 |      0-1-1 |    25.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Sai, Master Thopterist                                       |     1 |  0.11% |         3-3-0 | 50.00% |           2 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Neheb, Dreadhorde Champion                                   |     1 |  0.11% |         2-7-0 | 22.22% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Moraug, Fury of Akoum                                        |     1 |  0.11% |         2-7-0 | 22.22% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Didgeridoo                                                   |     1 |  0.11% |         2-7-0 | 22.22% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Boros Battleshaper                                           |     1 |  0.11% |         2-7-0 | 22.22% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Geier Reach Sanitarium                                       |     1 |  0.11% |         2-7-0 | 22.22% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Mirri's Guile                                                |     1 |  0.11% |         2-7-0 | 22.22% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Raven's Crime                                                |     1 |  0.11% |         2-7-0 | 22.22% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Innocent Blood                                               |     1 |  0.11% |         2-7-0 | 22.22% |           0 |           3 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Centaur Vinecrasher                                          |     1 |  0.11% |         2-7-0 | 22.22% |           0 |           1 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Maralen of the Mornsong                                      |     1 |  0.11% |         2-6-1 | 27.78% |           3 |           0 |      1-0-1 |    75.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Liliana of the Veil                                          |     1 |  0.11% |         2-6-1 | 27.78% |           3 |           0 |      1-0-1 |    75.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Monastery Mentor                                             |     1 |  0.11% |         2-6-1 | 27.78% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Scheming Symmetry                                            |     1 |  0.11% |         2-6-1 | 27.78% |           3 |           0 |      1-0-1 |    75.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Consult the Star Charts                                      |     1 |  0.11% |         2-6-1 | 27.78% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Thwart                                                       |     1 |  0.11% |         2-6-1 | 27.78% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Phyrexian Tower                                              |     1 |  0.11% |         2-6-1 | 27.78% |           1 |           0 |      1-0-1 |    75.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Deadly Brew                                                  |     1 |  0.11% |         2-6-1 | 27.78% |           0 |           1 |      1-0-1 |    75.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Death Wish                                                   |     1 |  0.11% |         2-6-0 | 25.00% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Comet, Stellar Pup                                           |     1 |  0.11% |         2-5-1 | 31.25% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Lightning Helix                                              |     1 |  0.11% |         2-5-1 | 31.25% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Tersa Lightshatter                                           |     1 |  0.11% |         2-5-0 | 28.57% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Legion Extruder                                              |     1 |  0.11% |         2-5-0 | 28.57% |           1 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Triskelion                                                   |     1 |  0.11% |         2-5-0 | 28.57% |           1 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Repeal                                                       |     1 |  0.11% |         2-4-1 | 35.71% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Oblivion Stone                                               |     1 |  0.11% |         2-4-1 | 35.71% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Academy Ruins                                                |     1 |  0.11% |         2-4-1 | 35.71% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Moggcatcher                                                  |     1 |  0.11% |         2-4-0 | 33.33% |           4 |           0 |      0-0-0 |       --- |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Conspicuous Snoop                                            |     1 |  0.11% |         2-4-0 | 33.33% |           4 |           0 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |
| Arcbound Ravager                                             |     1 |  0.11% |         2-4-0 | 33.33% |           4 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Stonecoil Serpent                                            |     1 |  0.11% |         2-4-0 | 33.33% |           4 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Steel Overseer                                               |     1 |  0.11% |         2-4-0 | 33.33% |           3 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Goblin Settler                                               |     1 |  0.11% |         2-4-0 | 33.33% |           3 |           0 |      0-0-0 |       --- |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Generous Ent                                                 |     1 |  0.11% |         2-4-0 | 33.33% |           3 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Azure Beastbinder                                            |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Parallax Tide                                                |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Clown Car                                                    |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Boggart Harbinger                                            |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |
| Iron Spider, Stark Upgrade                                   |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Fiery Islet                                                  |     1 |  0.11% |         2-4-0 | 33.33% |           2 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-1-0 |           0.00% |
| Temple Garden                                                |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Cecil, Dark Knight // Cecil, Redeemed Paladin                |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Prosperous Innkeeper                                         |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Breya's Apprentice                                           |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-2-0 |          33.33% |
| Krenko, Mob Boss                                             |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Terastodon                                                   |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Goblin Chieftain                                             |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |
| Castle Locthwain                                             |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Hapatra, Vizier of Poisons                                   |     1 |  0.11% |         2-4-0 | 33.33% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Razorkin Needlehead                                          |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           4 |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-1-0 |           0.00% |
| Culling Ritual                                               |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           2 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Tuktuk Scrapper                                              |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Suplex                                                       |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| The Ozolith                                                  |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Goblin Sharpshooter                                          |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        1-1-0 |       50.00% |            1-2-0 |          33.33% |
| Kataki, War's Wage                                           |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            1-0-0 |         100.00% |
| Kudo, King Among Bears                                       |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            1-0-0 |         100.00% |
| Basilisk Collar                                              |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Utter Insignificance                                         |     1 |  0.11% |         2-4-0 | 33.33% |           0 |           1 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Ingenious Infiltrator                                        |     1 |  0.11% |         2-3-0 | 40.00% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Yuriko, the Tiger's Shadow                                   |     1 |  0.11% |         2-3-0 | 40.00% |           3 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Changeling Outcast                                           |     1 |  0.11% |         2-3-0 | 40.00% |           3 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Ill-Gotten Gains                                             |     1 |  0.11% |         2-3-0 | 40.00% |           1 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Archon of Valor's Reach                                      |     1 |  0.11% |         2-3-0 | 40.00% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Chains of Mephistopheles                                     |     1 |  0.11% |        12-3-0 | 80.00% |           0 |           1 |      2-0-0 |   100.00% |        4-1-0 |       80.00% |            3-0-0 |         100.00% |
| Roiling Dragonstorm                                          |     1 |  0.11% |        11-4-0 | 73.33% |           2 |           0 |      0-2-0 |     0.00% |        4-0-0 |      100.00% |            3-0-0 |         100.00% |
| Palace Jailer                                                |     1 |  0.11% |        10-5-0 | 66.67% |           1 |           1 |      4-0-0 |   100.00% |        0-0-0 |          --- |            2-3-0 |          40.00% |
| Glasspool Mimic // Glasspool Shore                           |     1 |  0.11% |        10-5-0 | 66.67% |           1 |           0 |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            2-1-0 |          66.67% |
| Arbiter of Woe                                               |     1 |  0.11% |        10-5-0 | 66.67% |           1 |           0 |      4-0-0 |   100.00% |        1-1-0 |       50.00% |            1-0-0 |         100.00% |
| Thunderous Wrath                                             |     1 |  0.11% |         1-7-0 | 12.50% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Satyr Firedancer                                             |     1 |  0.11% |         1-7-0 | 12.50% |           0 |           2 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Snap                                                         |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Time Spiral                                                  |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Cloud of Faeries                                             |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Sapphire Medallion                                           |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| High Tide                                                    |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Auriok Salvagers                                             |     1 |  0.11% |         1-5-0 | 16.67% |           4 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Mind's Desire                                                |     1 |  0.11% |         1-5-0 | 16.67% |           3 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Sunken Hollow                                                |     1 |  0.11% |         1-5-0 | 16.67% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Pyromatics                                                   |     1 |  0.11% |         1-5-0 | 16.67% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Oona, Queen of the Fae                                       |     1 |  0.11% |         1-5-0 | 16.67% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Urza's Incubator                                             |     1 |  0.11% |         1-5-0 | 16.67% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Fae of Wishes // Granted                                     |     1 |  0.11% |         1-5-0 | 16.67% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Shivan Hellkite                                              |     1 |  0.11% |         1-5-0 | 16.67% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Piranha Marsh                                                |     1 |  0.11% |         1-5-0 | 16.67% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Swan Song                                                    |     1 |  0.11% |         1-5-0 | 16.67% |           0 |           2 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Teferi's Realm                                               |     1 |  0.11% |         1-5-0 | 16.67% |           0 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Brain Freeze                                                 |     1 |  0.11% |         1-5-0 | 16.67% |           0 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Iona, Shield of Emeria                                       |     1 |  0.11% |         1-5-0 | 16.67% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Floodpits Drowner                                            |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Master of the Pearl Trident                                  |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Lord of Atlantis                                             |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Silvergill Adept                                             |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Vodalian Hexcatcher                                          |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Ingenious Smith                                              |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Tide Shaper                                                  |     1 |  0.11% |         1-4-0 | 20.00% |           4 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Submerge                                                     |     1 |  0.11% |         1-4-0 | 20.00% |           3 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |
| This Town Ain't Big Enough                                   |     1 |  0.11% |         1-4-0 | 20.00% |           3 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |
| Exsanguinator Cavalry                                        |     1 |  0.11% |         1-4-0 | 20.00% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Touch the Spirit Realm                                       |     1 |  0.11% |         1-4-0 | 20.00% |           3 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Drop of Honey                                                |     1 |  0.11% |         1-4-0 | 20.00% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |
| The Restoration of Eiganjo // Architect of Restoration       |     1 |  0.11% |         1-4-0 | 20.00% |           2 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Mindspring Merfolk                                           |     1 |  0.11% |         1-4-0 | 20.00% |           2 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Inventors' Fair                                              |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      1-0-0 |   100.00% |        0-2-0 |        0.00% |            0-1-0 |           0.00% |
| Mister Negative                                              |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Dovin, Hand of Control                                       |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Cloud, Midgar Mercenary                                      |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Umezawa's Jitte                                              |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Skrelv, Defector Mite                                        |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Tranquil Thicket                                             |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
