Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Ketria Triome                                                |     1 |  0.11% |           2 |           0 |       9-5-0 | 64.29% | 3942-3946-0 |  49.97% |      9-5-0 |    64.29% |      1-1-0 |    50.00% |        1-2-0 |       33.33% |            1-0-0 |         100.00% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Verdant Catacomb                                             |     1 |  0.11% |           2 |           0 |       7-6-0 | 53.85% | 3944-3945-0 |  49.99% |      7-6-0 |    53.85% |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Imperial Recruiter                                           |     1 |  0.11% |           2 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Urabrask // The Great Work                                   |     1 |  0.11% |           2 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Embrace the Unknown                                          |     1 |  0.11% |           2 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Canoptek Scarab Swarm                                        |     1 |  0.11% |           2 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Cache Grab                                                   |     1 |  0.11% |           2 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-0-0 |       --- |        0-1-0 |        0.00% |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Plagon, Lord of the Beach                                    |     1 |  0.11% |           2 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Boarding Party                                               |     1 |  0.11% |           2 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-1-0 |     0.00% |        1-2-0 |       33.33% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Saprazzan Skerry                                             |     1 |  0.11% |           2 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-1-0 |     0.00% |        1-2-0 |       33.33% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ice-Fang Coatl                                               |     1 |  0.11% |           2 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Call Forth the Tempest                                       |     1 |  0.11% |           2 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-1-0 |     0.00% |        1-2-0 |       33.33% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Destiny Spinner                                              |     1 |  0.11% |           2 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Idyllic Tutor                                                |     1 |  0.11% |           2 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sanctum Weaver                                               |     1 |  0.11% |           2 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sterling Grove                                               |     1 |  0.11% |           2 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Pox                                                          |     1 |  0.11% |           2 |           0 |       3-5-0 | 37.50% | 3948-3946-0 |  50.01% |      3-5-0 |    37.50% |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Planar Genesis                                               |     1 |  0.11% |           2 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      1-0-0 |   100.00% |        1-1-0 |       50.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Vesuva                                                       |     1 |  0.11% |           2 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Phlage, Titan of Fire's Fury                                 |     1 |  0.11% |           2 |           0 |       3-3-0 | 50.00% | 3948-3948-0 |  50.00% |      3-3-0 |    50.00% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sai, Master Thopterist                                       |     1 |  0.11% |           2 |           0 |       3-3-0 | 50.00% | 3948-3948-0 |  50.00% |      3-3-0 |    50.00% |      0-0-0 |       --- |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Consult the Star Charts                                      |     1 |  0.11% |           2 |           0 |       2-6-0 | 25.00% | 3949-3945-0 |  50.03% |      2-6-0 |    25.00% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Comet, Stellar Pup                                           |     1 |  0.11% |           2 |           0 |       2-5-0 | 28.57% | 3949-3946-0 |  50.02% |      2-5-0 |    28.57% |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Tersa Lightshatter                                           |     1 |  0.11% |           2 |           0 |       2-5-0 | 28.57% | 3949-3946-0 |  50.02% |      2-5-0 |    28.57% |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Clown Car                                                    |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Iron Spider, Stark Upgrade                                   |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      2-1-0 |    66.67% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Fiery Islet                                                  |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Azure Beastbinder                                            |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Boggart Harbinger                                            |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Parallax Tide                                                |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Repeal                                                       |     1 |  0.11% |           2 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Roiling Dragonstorm                                          |     1 |  0.11% |           2 |           0 |      11-4-0 | 73.33% | 3940-3947-0 |  49.96% |     11-4-0 |    73.33% |      0-2-0 |     0.00% |        4-0-0 |      100.00% |            3-0-0 |         100.00% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Sunken Hollow                                                |     1 |  0.11% |           2 |           0 |       1-5-0 | 16.67% | 3950-3946-0 |  50.03% |      1-5-0 |    16.67% |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Pyromatics                                                   |     1 |  0.11% |           2 |           0 |       1-5-0 | 16.67% | 3950-3946-0 |  50.03% |      1-5-0 |    16.67% |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| The Restoration of Eiganjo // Architect of Restoration       |     1 |  0.11% |           2 |           0 |       1-4-0 | 20.00% | 3950-3947-0 |  50.02% |      1-4-0 |    20.00% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Drop of Honey                                                |     1 |  0.11% |           2 |           0 |       1-4-0 | 20.00% | 3950-3947-0 |  50.02% |      1-4-0 |    20.00% |      0-0-0 |       --- |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mindspring Merfolk                                           |     1 |  0.11% |           2 |           0 |       1-4-0 | 20.00% | 3950-3947-0 |  50.02% |      1-4-0 |    20.00% |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Fiery Gambit                                                 |     1 |  0.11% |           2 |           0 |       1-2-0 | 33.33% | 3950-3949-0 |  50.01% |      1-2-0 |    33.33% |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mox Amber                                                    |     1 |  0.11% |           2 |           0 |       0-5-0 |  0.00% | 3951-3946-0 |  50.03% |      0-5-0 |     0.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Basim Ibn Ishaq                                              |     1 |  0.11% |           2 |           0 |       0-5-0 |  0.00% | 3951-3946-0 |  50.03% |      0-5-0 |     0.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Terror of the Peaks                                          |     1 |  0.11% |           2 |           0 |       0-4-0 |  0.00% | 3951-3947-0 |  50.03% |      0-4-0 |     0.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Kazuul's Fury // Kazuul's Cliffs                             |     1 |  0.11% |           2 |           0 |       0-4-0 |  0.00% | 3951-3947-0 |  50.03% |      0-4-0 |     0.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Boseiju, Who Shelters All                                    |     1 |  0.11% |           2 |           0 |       0-3-0 |  0.00% | 3951-3948-0 |  50.02% |      0-3-0 |     0.00% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Glimmervoid                                                  |     1 |  0.11% |           2 |           0 |       0-2-0 |  0.00% | 3951-3949-0 |  50.01% |      0-2-0 |     0.00% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mystical Dispute                                             |     1 |  0.11% |           1 |           3 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Lim-Dûl's Vault                                              |     1 |  0.11% |           1 |           2 |       4-2-0 | 66.67% | 3947-3949-0 |  49.99% |      4-2-0 |    66.67% |      0-0-0 |       --- |        0-0-0 |          --- |            3-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Will of the Jeskai                                           |     1 |  0.11% |           1 |           1 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Bonus Round                                                  |     1 |  0.11% |           1 |           1 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Palace Jailer                                                |     1 |  0.11% |           1 |           1 |      10-5-0 | 66.67% | 3941-3946-0 |  49.97% |     10-5-0 |    66.67% |      4-0-0 |   100.00% |        0-0-0 |          --- |            2-3-0 |          40.00% |          1 |      0.47% |             1 |             1 |          0 |        --- |           0 |           0 |
| Crystal Skull, Isu Spyglass                                  |     1 |  0.11% |           1 |           1 |       0-5-0 |  0.00% | 3951-3946-0 |  50.03% |      0-5-0 |     0.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Furnace Hellkite                                             |     1 |  0.11% |           1 |           0 |       9-6-0 | 60.00% | 3942-3945-0 |  49.98% |      9-6-0 |    60.00% |      4-2-0 |    66.67% |        1-1-0 |       50.00% |            3-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Dusk Rose Reliquary                                          |     1 |  0.11% |           1 |           0 |       7-6-0 | 53.85% | 3944-3945-0 |  49.99% |      7-6-0 |    53.85% |      2-1-0 |    66.67% |        0-2-0 |        0.00% |            2-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Brainsurge                                                   |     1 |  0.11% |           1 |           0 |       6-4-0 | 60.00% | 3945-3947-0 |  49.99% |      6-4-0 |    60.00% |      2-1-0 |    66.67% |        0-0-0 |          --- |            1-2-0 |          33.33% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Trailblazer's Torch                                          |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sanctum Prelate                                              |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Impulsive Pilferer                                           |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ulamog, the Ceaseless Hunger // Ulamog, the Ceaseless Hunger |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            2-1-0 |          66.67% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Portent of Calamity                                          |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Step Through                                                 |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Grand Abolisher                                              |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Questing Beast                                               |     1 |  0.11% |           1 |           0 |       5-4-0 | 55.56% | 3946-3947-0 |  49.99% |      5-4-0 |    55.56% |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Wish                                                         |     1 |  0.11% |           1 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Stormscale Scion                                             |     1 |  0.11% |           1 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Melded Moxite                                                |     1 |  0.11% |           1 |           0 |       5-3-0 | 62.50% | 3946-3948-0 |  49.99% |      5-3-0 |    62.50% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Scale Up                                                     |     1 |  0.11% |           1 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Flare of Duplication                                         |     1 |  0.11% |           1 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Inversion Behemoth                                           |     1 |  0.11% |           1 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Exquisite Firecraft                                          |     1 |  0.11% |           1 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Dredger's Insight                                            |     1 |  0.11% |           1 |           0 |       4-5-0 | 44.44% | 3947-3946-0 |  50.01% |      4-5-0 |    44.44% |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Manipulate Fate                                              |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Squee, the Immortal                                          |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Deadly Dispute                                               |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Decree of Annihilation                                       |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-1-0 |     0.00% |        1-2-0 |       33.33% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sire of Insanity                                             |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      2-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Glissa Sunslayer                                             |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      4-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Stomping Ground                                              |     1 |  0.11% |           1 |           0 |       4-4-0 | 50.00% | 3947-3947-0 |  50.00% |      4-4-0 |    50.00% |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Eldritch Evolution                                           |     1 |  0.11% |           1 |           0 |       4-3-0 | 57.14% | 3947-3948-0 |  49.99% |      4-3-0 |    57.14% |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Tyrant's Scorn                                               |     1 |  0.11% |           1 |           0 |       4-3-0 | 57.14% | 3947-3948-0 |  49.99% |      4-3-0 |    57.14% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Finale of Devastation                                        |     1 |  0.11% |           1 |           0 |       4-3-0 | 57.14% | 3947-3948-0 |  49.99% |      4-3-0 |    57.14% |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Children of Korlis                                           |     1 |  0.11% |           1 |           0 |       4-2-0 | 66.67% | 3947-3949-0 |  49.99% |      4-2-0 |    66.67% |      0-0-0 |       --- |        0-0-0 |          --- |            3-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Sacred Ground                                                |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ifnir Deadlands                                              |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Leyline of Vitality                                          |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mutated Cultist                                              |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Spider-Woman, Stunning Savior                                |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      0-2-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Symbiote Spider-Man                                          |     1 |  0.11% |           1 |           0 |       3-6-0 | 33.33% | 3948-3945-0 |  50.02% |      3-6-0 |    33.33% |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Currency Converter                                           |     1 |  0.11% |           1 |           0 |       3-5-0 | 37.50% | 3948-3946-0 |  50.01% |      3-5-0 |    37.50% |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Abdel Adrian, Gorion's Ward                                  |     1 |  0.11% |           1 |           0 |       3-5-0 | 37.50% | 3948-3946-0 |  50.01% |      3-5-0 |    37.50% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Barren Moor                                                  |     1 |  0.11% |           1 |           0 |       3-5-0 | 37.50% | 3948-3946-0 |  50.01% |      3-5-0 |    37.50% |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
