Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Lórien Revealed                                            |   115 | 13.56% |        115 |          0 |   449-436-0 | 50.73% | 3748-3761-0 |  49.91% |  397-384-0 |    50.83% |         21 |     18.92% |            21 |             0 |
| Price of Progress                                          |   115 | 13.56% |          4 |        111 |   384-410-0 | 48.36% | 3813-3787-0 |  50.17% |  338-364-0 |    48.15% |          9 |      8.11% |             0 |             9 |
| Tundra                                                     |   115 | 13.56% |        115 |          0 |   388-417-0 | 48.20% | 3809-3780-0 |  50.19% |  344-373-0 |    47.98% |         14 |     12.61% |            14 |             0 |
| Karn, the Great Creator                                    |   114 | 13.44% |        112 |          3 |   403-423-0 | 48.79% | 3794-3774-0 |  50.13% |  363-383-0 |    48.66% |         16 |     14.41% |            16 |             0 |
| Force of Vigor                                             |   110 | 12.97% |          0 |        110 |   373-378-0 | 49.67% | 3824-3819-0 |  50.03% |  333-338-0 |    49.63% |          8 |      7.21% |             0 |             8 |
| Tropical Island                                            |   110 | 12.97% |        110 |          0 |   425-405-0 | 51.20% | 3772-3792-0 |  49.87% |  380-360-0 |    51.35% |         19 |     17.12% |            19 |             0 |
| Dragon's Rage Channeler                                    |   109 | 12.85% |        109 |          0 |   382-392-0 | 49.35% | 3815-3805-0 |  50.07% |  337-347-0 |    49.27% |         12 |     10.81% |            12 |             0 |
| Stock Up                                                   |   109 | 12.85% |        109 |          0 |   445-422-0 | 51.33% | 3752-3775-0 |  49.85% |  398-375-0 |    51.49% |         23 |     20.72% |            23 |             0 |
| Chalice of the Void                                        |   108 | 12.74% |        103 |          7 |   405-407-0 | 49.88% | 3792-3790-0 |  50.01% |  353-355-0 |    49.86% |         17 |     15.32% |            17 |             0 |
| Mycosynth Lattice                                          |   108 | 12.74% |          0 |        108 |   379-400-0 | 48.65% | 3818-3797-0 |  50.14% |  344-365-0 |    48.52% |         16 |     14.41% |             0 |            16 |
| Sheoldred's Edict                                          |   107 | 12.62% |         46 |         75 |   370-388-0 | 48.81% | 3827-3809-0 |  50.12% |  331-349-0 |    48.68% |         14 |     12.61% |             5 |            10 |
| Flusterstorm                                               |   106 | 12.50% |         32 |         82 |   351-396-0 | 46.99% | 3846-3801-0 |  50.29% |  310-355-0 |    46.62% |         11 |      9.91% |             4 |             8 |
| Boseiju, Who Endures                                       |   102 | 12.03% |         75 |         32 |   323-356-0 | 47.57% | 3874-3841-0 |  50.21% |  288-321-0 |    47.29% |          6 |      5.41% |             4 |             3 |
| Unholy Heat                                                |   102 | 12.03% |         99 |         61 |   358-364-0 | 49.58% | 3839-3833-0 |  50.04% |  317-323-0 |    49.53% |         11 |      9.91% |            11 |             6 |
| Soul-Guide Lantern                                         |   101 | 11.91% |         75 |         28 |   315-378-0 | 45.45% | 3882-3819-0 |  50.41% |  276-339-0 |    44.88% |          6 |      5.41% |             3 |             3 |
| Delver of Secrets // Insectile Aberration                  |    98 | 11.56% |         98 |          0 |   337-352-0 | 48.91% | 3860-3845-0 |  50.10% |  303-318-0 |    48.79% |          9 |      8.11% |             9 |             0 |
| Marsh Flats                                                |    98 | 11.56% |         98 |          0 |   347-338-0 | 50.66% | 3850-3859-0 |  49.94% |  311-302-0 |    50.73% |         12 |     10.81% |            12 |             0 |
| Nihil Spellbomb                                            |    97 | 11.44% |         51 |         49 |   366-350-0 | 51.12% | 3831-3847-0 |  49.90% |  332-316-0 |    51.23% |         18 |     16.22% |             8 |            11 |
| Cori-Steel Cutter                                          |    96 | 11.32% |         96 |          0 |   342-350-0 | 49.42% | 3855-3847-0 |  50.05% |  302-310-0 |    49.35% |         11 |      9.91% |            11 |             0 |
| Endurance                                                  |    96 | 11.32% |         48 |         72 |   326-331-0 | 49.62% | 3871-3866-0 |  50.03% |  302-307-0 |    49.59% |          9 |      8.11% |             5 |             7 |
| Red Elemental Blast                                        |    96 | 11.32% |         15 |         89 |   348-363-0 | 48.95% | 3849-3834-0 |  50.10% |  310-325-0 |    48.82% |          8 |      7.21% |             0 |             8 |
| Carpet of Flowers                                          |    95 | 11.20% |          0 |         95 |   377-348-0 | 52.00% | 3820-3849-0 |  49.81% |  340-311-0 |    52.23% |         17 |     15.32% |             0 |            17 |
| Mox Opal                                                   |    95 | 11.20% |         95 |          0 |   319-345-0 | 48.04% | 3878-3852-0 |  50.17% |  278-304-0 |    47.77% |         10 |      9.01% |            10 |             0 |
| Planar Nexus                                               |    95 | 11.20% |         95 |          0 |   340-353-0 | 49.06% | 3857-3844-0 |  50.08% |  320-333-0 |    49.00% |         15 |     13.51% |            15 |             0 |
| Urza's Tower                                               |    95 | 11.20% |         95 |          0 |   340-353-0 | 49.06% | 3857-3844-0 |  50.08% |  320-333-0 |    49.00% |         15 |     13.51% |            15 |             0 |
| Atraxa, Grand Unifier                                      |    94 | 11.08% |         94 |          0 |   384-359-0 | 51.68% | 3813-3838-0 |  49.84% |  351-326-0 |    51.85% |         17 |     15.32% |            17 |             0 |
| Damping Sphere                                             |    94 | 11.08% |          0 |         94 |   352-343-0 | 50.65% | 3845-3854-0 |  49.94% |  320-311-0 |    50.71% |         11 |      9.91% |             0 |            11 |
| Bayou                                                      |    93 | 10.97% |         93 |          0 |   343-337-0 | 50.44% | 3854-3860-0 |  49.96% |  313-307-0 |    50.48% |         13 |     11.71% |            13 |             0 |
| City of Traitors                                           |    91 | 10.73% |         91 |          0 |   337-345-0 | 49.41% | 3860-3852-0 |  50.05% |  302-310-0 |    49.35% |         12 |     10.81% |            12 |             0 |
| Nethergoyf                                                 |    90 | 10.61% |         90 |          0 |   354-343-0 | 50.79% | 3843-3854-0 |  49.93% |  322-311-0 |    50.87% |         17 |     15.32% |            17 |             0 |
| Dark Ritual                                                |    88 | 10.38% |         88 |          0 |   327-320-0 | 50.54% | 3870-3877-0 |  49.95% |  298-291-0 |    50.59% |         11 |      9.91% |            11 |             0 |
