Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Elvish Piper                                               |     1 |  0.12% |          0 |          1 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Emergent Ultimatum                                         |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Emrakul, the Promised End                                  |     1 |  0.12% |          0 |          1 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Energy Flux                                                |     1 |  0.12% |          0 |          1 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Engineered Plague                                          |     1 |  0.12% |          0 |          1 |       9-5-0 | 64.29% | 4188-4192-0 |  49.98% |      9-5-0 |    64.29% |          1 |      0.90% |             0 |             1 |
| Enlightened Tutor                                          |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Enter the Infinite                                         |     1 |  0.12% |          0 |          1 |      11-3-0 | 78.57% | 4186-4194-0 |  49.95% |     11-3-0 |    78.57% |          1 |      0.90% |             0 |             1 |
| Entreat the Angels                                         |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Ertai Resurrected                                          |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Ethersworn Canonist                                        |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Exhume                                                     |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Extinguisher Battleship                                    |     1 |  0.12% |          0 |          1 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Extraction Specialist                                      |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Fauna Shaman                                               |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Fiery Islet                                                |     1 |  0.12% |          1 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Fire // Ice                                                |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Fireball                                                   |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Firespout                                                  |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Flare of Cultivation                                       |     1 |  0.12% |          1 |          0 |       0-7-0 |  0.00% | 4197-4190-0 |  50.04% |      0-7-0 |     0.00% |          0 |        --- |             0 |             0 |
| Floodpits Drowner                                          |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Force of Despair                                           |     1 |  0.12% |          0 |          1 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Formless Genesis                                           |     1 |  0.12% |          1 |          0 |       0-2-0 |  0.00% | 4197-4195-0 |  50.01% |      0-2-0 |     0.00% |          0 |        --- |             0 |             0 |
| Fracture                                                   |     1 |  0.12% |          0 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Freestrider Lookout                                        |     1 |  0.12% |          1 |          0 |       2-6-0 | 25.00% | 4195-4191-0 |  50.02% |      2-6-0 |    25.00% |          0 |        --- |             0 |             0 |
| Galvanic Discharge                                         |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Geier Reach Sanitarium                                     |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Gemstone Caverns                                           |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Gemstone Mine                                              |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| General Kreat, the Boltbringer                             |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Ghirapur Aether Grid                                       |     1 |  0.12% |          0 |          1 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Giver of Runes                                             |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Glarb, Calamity's Augur                                    |     1 |  0.12% |          1 |          0 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          1 |      0.90% |             1 |             0 |
| Goblin Chieftain                                           |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Grapeshot                                                  |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Grim Lavamancer                                            |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Ground Seal                                                |     1 |  0.12% |          0 |          1 |       9-5-0 | 64.29% | 4188-4192-0 |  49.98% |      9-5-0 |    64.29% |          1 |      0.90% |             0 |             1 |
| Grove of the Burnwillows                                   |     1 |  0.12% |          1 |          0 |       2-6-0 | 25.00% | 4195-4191-0 |  50.02% |      2-6-0 |    25.00% |          0 |        --- |             0 |             0 |
| Gurmag Angler                                              |     1 |  0.12% |          1 |          0 |       2-6-0 | 25.00% | 4195-4191-0 |  50.02% |      2-6-0 |    25.00% |          0 |        --- |             0 |             0 |
| Gut Shot                                                   |     1 |  0.12% |          0 |          1 |       0-1-0 |  0.00% | 4197-4196-0 |  50.01% |      0-1-0 |     0.00% |          0 |        --- |             0 |             0 |
| Gut, True Soul Zealot                                      |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Haliya, Guided by Light                                    |     1 |  0.12% |          1 |          0 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Hallowed Fountain                                          |     1 |  0.12% |          1 |          0 |       2-5-0 | 28.57% | 4195-4192-0 |  50.02% |      2-5-0 |    28.57% |          0 |        --- |             0 |             0 |
| Hapless Researcher                                         |     1 |  0.12% |          1 |          0 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Harvester of Misery                                        |     1 |  0.12% |          0 |          1 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Hickory Woodlot                                            |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| High Noon                                                  |     1 |  0.12% |          0 |          1 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Hope of Ghirapur                                           |     1 |  0.12% |          0 |          1 |       9-5-0 | 64.29% | 4188-4192-0 |  49.98% |      9-5-0 |    64.29% |          1 |      0.90% |             0 |             1 |
| Hullbreaker Horror                                         |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Ichorid                                                    |     1 |  0.12% |          1 |          0 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Illness in the Ranks                                       |     1 |  0.12% |          0 |          1 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Inevitable Betrayal                                        |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Ingot Chewer                                               |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Insatiable Avarice                                         |     1 |  0.12% |          0 |          1 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Jegantha, the Wellspring                                   |     1 |  0.12% |          0 |          1 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Jeska's Will                                               |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Jirina, Dauntless General                                  |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Keen-Eyed Raven                                            |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Ketria Triome                                              |     1 |  0.12% |          1 |          0 |       9-3-0 | 75.00% | 4188-4194-0 |  49.96% |      9-3-0 |    75.00% |          1 |      0.90% |             1 |             0 |
| Kitesail Freebooter                                        |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Kuldotha Forgemaster                                       |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Laboratory Maniac                                          |     1 |  0.12% |          0 |          1 |      10-3-0 | 76.92% | 4187-4194-0 |  49.96% |     10-3-0 |    76.92% |          1 |      0.90% |             0 |             1 |
| Lazav, Wearer of Faces                                     |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Ledger Shredder                                            |     1 |  0.12% |          1 |          0 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Legion Extruder                                            |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Leyline of the Guildpact                                   |     1 |  0.12% |          1 |          0 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          1 |      0.90% |             1 |             0 |
| Lightning Greaves                                          |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Linvala, Keeper of Silence                                 |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Llawan, Cephalid Empress                                   |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Lord of Atlantis                                           |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Loyal Retainers                                            |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Maelstrom Wanderer                                         |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Manabond                                                   |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| March of Wretched Sorrow                                   |     1 |  0.12% |          1 |          1 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Master of Death                                            |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Master of the Pearl Trident                                |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Matoya, Archon Elder                                       |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Mawloc                                                     |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Meekstone                                                  |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Merfolk Trickster                                          |     1 |  0.12% |          0 |          1 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Metalworker                                                |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Meteor Golem                                               |     1 |  0.12% |          0 |          1 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Minamo, School at Water's Edge                             |     1 |  0.12% |          1 |          0 |       8-4-0 | 66.67% | 4189-4193-0 |  49.98% |      8-4-0 |    66.67% |          1 |      0.90% |             1 |             0 |
| Mind's Desire                                              |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Mirri's Guile                                              |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Mistcaller                                                 |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Mizzix's Mastery                                           |     1 |  0.12% |          0 |          1 |      11-3-0 | 78.57% | 4186-4194-0 |  49.95% |     11-3-0 |    78.57% |          1 |      0.90% |             0 |             1 |
| Moment of Truth                                            |     1 |  0.12% |          1 |          0 |       9-3-0 | 75.00% | 4188-4194-0 |  49.96% |      9-3-0 |    75.00% |          1 |      0.90% |             1 |             0 |
| Momentum Breaker                                           |     1 |  0.12% |          1 |          0 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Monastery Mentor                                           |     1 |  0.12% |          0 |          1 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Mossfire Valley                                            |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Noise Marine                                               |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Nova Hellkite                                              |     1 |  0.12% |          1 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Noxious Revival                                            |     1 |  0.12% |          0 |          1 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Obsessive Pursuit                                          |     1 |  0.12% |          1 |          0 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Orzhov Pontiff                                             |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Paradoxical Outcome                                        |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Perilous Research                                          |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Phage the Untouchable                                      |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Phantasmal Image                                           |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Phyrexian Fleshgorger                                      |     1 |  0.12% |          0 |          1 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Phyrexian Tower                                            |     1 |  0.12% |          1 |          0 |       0-7-0 |  0.00% | 4197-4190-0 |  50.04% |      0-7-0 |     0.00% |          0 |        --- |             0 |             0 |
| Piracy Charm                                               |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Platinum Emperion                                          |     1 |  0.12% |          0 |          1 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Portent of Calamity                                        |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Predict                                                    |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Profane Tutor                                              |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Proft's Eidetic Memory                                     |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Punishing Fire                                             |     1 |  0.12% |          1 |          0 |       2-6-0 | 25.00% | 4195-4191-0 |  50.02% |      2-6-0 |    25.00% |          0 |        --- |             0 |             0 |
| Purify the Grave                                           |     1 |  0.12% |          0 |          1 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Pyrite Spellbomb                                           |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Questing Beast                                             |     1 |  0.12% |          1 |          0 |       2-5-0 | 28.57% | 4195-4192-0 |  50.02% |      2-5-0 |    28.57% |          0 |        --- |             0 |             0 |
| Rapid Hybridization                                        |     1 |  0.12% |          0 |          1 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Ratchet Bomb                                               |     1 |  0.12% |          0 |          1 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Ravenform                                                  |     1 |  0.12% |          0 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Reclamation Sage                                           |     1 |  0.12% |          0 |          1 |       2-5-0 | 28.57% | 4195-4192-0 |  50.02% |      2-5-0 |    28.57% |          0 |        --- |             0 |             0 |
| Recurring Nightmare                                        |     1 |  0.12% |          1 |          0 |       0-7-0 |  0.00% | 4197-4190-0 |  50.04% |      0-7-0 |     0.00% |          0 |        --- |             0 |             0 |
| Reidane, God of the Worthy // Valkmira, Protector's Shield |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Relic of Progenitus                                        |     1 |  0.12% |          1 |          0 |       2-4-0 | 33.33% | 4195-4193-0 |  50.01% |      2-4-0 |    33.33% |          0 |        --- |             0 |             0 |
| Renegade Rallier                                           |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Repeal                                                     |     1 |  0.12% |          0 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Retrofitter Foundry                                        |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Return to Nature                                           |     1 |  0.12% |          0 |          1 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Revitalize                                                 |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Riftstone Portal                                           |     1 |  0.12% |          1 |          0 |       2-6-0 | 25.00% | 4195-4191-0 |  50.02% |      2-6-0 |    25.00% |          0 |        --- |             0 |             0 |
| Rundvelt Hordemaster                                       |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Sakashima the Impostor                                     |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Samwise Gamgee                                             |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Samwise the Stouthearted                                   |     1 |  0.12% |          1 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Sandstone Needle                                           |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Scale Up                                                   |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Scion of Draco                                             |     1 |  0.12% |          1 |          0 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          1 |      0.90% |             1 |             0 |
| Searing Blood                                              |     1 |  0.12% |          0 |          1 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Searslicer Goblin                                          |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel   |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Serra's Emissary                                           |     1 |  0.12% |          1 |          0 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Shadow of Mortality                                        |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Shallow Grave                                              |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Shattering Spree                                           |     1 |  0.12% |          0 |          1 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Shining Shoal                                              |     1 |  0.12% |          0 |          1 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Sickening Shoal                                            |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Silvergill Adept                                           |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Sinister Monolith                                          |     1 |  0.12% |          1 |          0 |       2-5-0 | 28.57% | 4195-4192-0 |  50.02% |      2-5-0 |    28.57% |          0 |        --- |             0 |             0 |
| Slip Out the Back                                          |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Solve the Equation                                         |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Soul Spike                                                 |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
