Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Steel Wrecking Ball	2	0.027778	7-5-1	0.576923	0	3
Stony Silence	2	0.027778	3-6-0	0.333333	0	3
Street Wraith	2	0.027778	3-7-0	0.300000	3	2
Sudden Edict	2	0.027778	2-5-1	0.312500	2	1
Sunbaked Canyon	2	0.027778	3-6-0	0.333333	2	0
Sylvan Library	2	0.027778	6-7-0	0.461538	4	0
Taiga	2	0.027778	6-7-0	0.461538	2	0
Talon Gates of Madara	2	0.027778	8-6-0	0.571429	2	0
Torpor Orb	2	0.027778	5-5-0	0.500000	6	0
Toxic Deluge	2	0.027778	5-4-1	0.550000	0	2
Undercity Informer	2	0.027778	4-6-0	0.400000	8	0
Urza's Bauble	2	0.027778	6-7-0	0.461538	3	0
Voice of Victory	2	0.027778	0-4-0	0.000000	6	0
Worldgorger Dragon	2	0.027778	4-7-0	0.363636	2	0
Yorion, Sky Nomad	2	0.027778	10-4-2	0.687500	0	2
Aether Spellbomb	1	0.013889	3-3-0	0.500000	0	1
Aether Vial	1	0.013889	6-1-2	0.777778	4	0
Agadeem's Awakening // Agadeem, the Undercrypt	1	0.013889	4-3-0	0.571429	4	0
Anointed Peacekeeper	1	0.013889	4-2-0	0.666667	4	0
Archon of Emeria	1	0.013889	2-3-0	0.400000	4	0
Ashiok, Dream Render	1	0.013889	2-3-0	0.400000	0	1
Assassin's Trophy	1	0.013889	3-3-0	0.500000	2	0
Back to Basics	1	0.013889	1-5-0	0.166667	1	0
Birchlore Rangers	1	0.013889	2-2-0	0.500000	3	0
Birds of Paradise	1	0.013889	4-3-0	0.571429	4	0
Blue Sun's Zenith	1	0.013889	4-3-0	0.571429	0	1
Brotherhood's End	1	0.013889	1-4-0	0.200000	0	1
Caustic Bronco	1	0.013889	3-3-0	0.500000	3	0
Celestial Purge	1	0.013889	1-5-0	0.166667	0	2
Chain Lightning	1	0.013889	3-4-0	0.428571	1	0
Chain of Vapor	1	0.013889	5-1-2	0.750000	0	2
Chancellor of the Annex	1	0.013889	2-3-0	0.400000	4	0
Changeling Outcast	1	0.013889	2-3-0	0.400000	4	0
Chord of Calling	1	0.013889	4-3-0	0.571429	4	0
Cityscape Leveler	1	0.013889	0-3-0	0.000000	0	1
Clarion Conqueror // Clarion Conqueror	1	0.013889	4-2-0	0.666667	0	4
Cling to Dust	1	0.013889	0-2-1	0.166667	1	0
Cloudpost	1	0.013889	0-3-0	0.000000	4	0
Commercial District	1	0.013889	3-4-0	0.428571	1	0
Counterbalance	1	0.013889	6-2-0	0.750000	0	1
Cunning Wish	1	0.013889	4-3-0	0.571429	1	1
Dance of the Dead	1	0.013889	1-3-0	0.250000	4	0
Disciple of Freyalise // Garden of Freyalise	1	0.013889	4-3-0	0.571429	2	1
Disruptive Stormbrood // Petty Revenge	1	0.013889	4-3-0	0.571429	0	1
Doorkeeper Thrull	1	0.013889	5-2-0	0.714286	3	0
Dread of Night	1	0.013889	2-3-0	0.400000	0	1
Drown in the Loch	1	0.013889	2-3-0	0.400000	2	0
Eladamri, Korvecdal	1	0.013889	2-2-0	0.500000	1	0
Eldrazi Confluence	1	0.013889	5-2-0	0.714286	0	1
Elvish Visionary	1	0.013889	2-2-0	0.500000	2	0
Emry, Lurker of the Loch	1	0.013889	3-3-0	0.500000	4	0
Etali, Primal Conqueror // Etali, Primal Sickness	1	0.013889	1-3-0	0.250000	1	0
Exorcise	1	0.013889	4-2-0	0.666667	0	2
Extirpate	1	0.013889	2-3-0	0.400000	0	1
Eye of Ugin	1	0.013889	0-3-0	0.000000	1	0
Fae of Wishes // Granted	1	0.013889	4-3-0	0.571429	1	0
Far // Away	1	0.013889	2-3-0	0.400000	1	0
Fell the Profane // Fell Mire	1	0.013889	0-3-0	0.000000	4	0
Filter Out	1	0.013889	4-3-0	0.571429	0	1
Flagstones of Trokair	1	0.013889	3-4-0	0.428571	2	0
Flash of Insight	1	0.013889	4-3-0	0.571429	0	1
Flickerwisp	1	0.013889	6-1-2	0.777778	2	0
Forth Eorlingas!	1	0.013889	0-2-0	0.000000	0	1
Fortune, Loyal Steed	1	0.013889	4-2-0	0.666667	4	0
Foundation Breaker	1	0.013889	4-3-0	0.571429	0	1
Frenzied Baloth	1	0.013889	4-3-0	0.571429	1	0
Gilded Drake	1	0.013889	5-2-0	0.714286	1	0
Glimmerpost	1	0.013889	0-3-0	0.000000	2	0
Glimpse of Nature	1	0.013889	2-2-0	0.500000	4	0
Goblin Rabblemaster	1	0.013889	3-3-0	0.500000	4	0
Grove of the Burnwillows	1	0.013889	3-3-0	0.500000	2	0
Haliya, Guided by Light	1	0.013889	4-2-0	0.666667	3	0
Harbinger of the Seas	1	0.013889	3-3-0	0.500000	0	2
Heritage Druid	1	0.013889	2-2-0	0.500000	3	0
Hide on the Ceiling	1	0.013889	4-3-0	0.571429	0	1
High Tide	1	0.013889	4-3-0	0.571429	4	0
Hullbreacher	1	0.013889	4-3-0	0.571429	0	1
Hurkyl's Recall	1	0.013889	3-3-0	0.500000	0	1
Hydroelectric Specimen // Hydroelectric Laboratory	1	0.013889	0-3-0	0.000000	3	0
Hymn to Tourach	1	0.013889	0-2-1	0.166667	2	0
Icetill Explorer	1	0.013889	3-4-0	0.428571	1	0
Ignoble Hierarch	1	0.013889	5-2-0	0.714286	4	0
Ingenious Infiltrator	1	0.013889	2-3-0	0.400000	1	0
Inquisition of Kozilek	1	0.013889	0-2-1	0.166667	0	1
Intuition	1	0.013889	4-3-0	0.571429	0	1
Jace, the Mind Sculptor	1	0.013889	0-2-1	0.166667	1	0
Jack-o'-Lantern	1	0.013889	0-3-0	0.000000	2	0
Jacked Rabbit	1	0.013889	4-2-0	0.666667	4	0
Kaito, Dancing Shadow	1	0.013889	0-2-1	0.166667	1	0
Kaldra Compleat	1	0.013889	6-1-2	0.777778	1	0
Kappa Cannoneer	1	0.013889	3-3-0	0.500000	4	0
Karn's Sylex	1	0.013889	0-3-0	0.000000	3	0
Kolaghan's Command	1	0.013889	0-2-1	0.166667	2	0
Legion Extruder	1	0.013889	3-3-0	0.500000	1	0
Leovold, Emissary of Trest	1	0.013889	4-3-0	0.571429	1	0
