Card Statistics over 82 Decks (DMV Legacy League Classic (2025-11-08))
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |   Record   | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |    With    |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
| Fiery Confluence                                        |     3 |  3.66% |     7-10-0 | 41.18% |           0 |           5 |
| Fire Magic                                              |     3 |  3.66% |     10-6-2 | 61.11% |           0 |           3 |
| Forth Eorlingas!                                        |     3 |  3.66% |     8-11-1 | 42.50% |           1 |           3 |
| Frenzied Baloth                                         |     3 |  3.66% |     4-10-0 | 28.57% |           6 |           0 |
| Genemorph Imago                                         |     3 |  3.66% |     10-7-0 | 58.82% |           3 |           0 |
| Gilded Drake                                            |     3 |  3.66% |      4-9-2 | 33.33% |           3 |           0 |
| Goblin Bombardment                                      |     3 |  3.66% |     8-11-1 | 42.50% |           7 |           0 |
| Lavinia, Azorius Renegade                               |     3 |  3.66% |      8-8-1 | 50.00% |           0 |           3 |
| Leyline of Sanctity                                     |     3 |  3.66% |     9-11-0 | 45.00% |           0 |          11 |
| Lion's Eye Diamond                                      |     3 |  3.66% |     8-11-0 | 42.11% |           5 |           1 |
| Lórien Revealed                                         |     3 |  3.66% |     10-9-2 | 52.38% |           9 |           0 |
| March of Otherworldly Light                             |     3 |  3.66% |     8-11-1 | 42.50% |           1 |           5 |
| Maze of Ith                                             |     3 |  3.66% |      9-9-1 | 50.00% |           3 |           0 |
| Mystic Sanctuary                                        |     3 |  3.66% |      8-8-1 | 50.00% |           3 |           0 |
| Narset, Parter of Veils                                 |     3 |  3.66% |     5-10-3 | 36.11% |           4 |           0 |
| Path to Exile                                           |     3 |  3.66% |     12-8-2 | 59.09% |           0 |           5 |
| Phyrexian Devourer                                      |     3 |  3.66% |      4-8-0 | 33.33% |           3 |           0 |
| Phyrexian Dreadnought                                   |     3 |  3.66% |      9-9-2 | 50.00% |          10 |           0 |
| Prismatic Vista                                         |     3 |  3.66% |      7-9-2 | 44.44% |          11 |           0 |
| Pyrogoyf                                                |     3 |  3.66% |     7-10-0 | 41.18% |          10 |           0 |
| Quirion Ranger                                          |     3 |  3.66% |      9-8-0 | 52.94% |           6 |           0 |
| Scythecat Cub                                           |     3 |  3.66% |    10-10-0 | 50.00% |           3 |           0 |
| Sheoldred's Edict                                       |     3 |  3.66% |     9-10-1 | 47.50% |           1 |           2 |
| Snuff Out                                               |     3 |  3.66% |     5-10-0 | 33.33% |           0 |           4 |
| Solitude                                                |     3 |  3.66% |     10-7-1 | 58.33% |          10 |           0 |
| Springheart Nantuko                                     |     3 |  3.66% |      9-8-0 | 52.94% |           4 |           0 |
| Sundering Eruption // Volcanic Fissure                  |     3 |  3.66% |     7-10-0 | 41.18% |           9 |           0 |
| The Tabernacle at Pendrell Vale                         |     3 |  3.66% |      9-9-1 | 50.00% |           3 |           0 |
| Toxic Deluge                                            |     3 |  3.66% |      9-8-2 | 52.63% |           0 |           4 |
| Trinisphere                                             |     3 |  3.66% |     8-10-0 | 44.44% |           7 |           1 |
| Undercity Informer                                      |     3 |  3.66% |     12-9-0 | 57.14% |          12 |           0 |
| Voice of Victory                                        |     3 |  3.66% |     8-11-1 | 42.50% |          10 |           0 |
| Walking Ballista                                        |     3 |  3.66% |     12-8-1 | 59.52% |           2 |           2 |
| Wooded Foothills                                        |     3 |  3.66% |      9-8-0 | 52.94% |           6 |           0 |
| Blue Elemental Blast                                    |     2 |  2.44% |      5-5-0 | 50.00% |           0 |           2 |
| Bonecrusher Giant // Stomp                              |     2 |  2.44% |      6-6-0 | 50.00% |           0 |           3 |
| Cephalid Illusionist                                    |     2 |  2.44% |      5-5-1 | 50.00% |           8 |           0 |
| Chain Lightning                                         |     2 |  2.44% |      4-6-1 | 40.91% |           2 |           0 |
| Cling to Dust                                           |     2 |  2.44% |      3-7-2 | 33.33% |           3 |           0 |
| Consider                                                |     2 |  2.44% |      6-7-0 | 46.15% |           2 |           0 |
| Craterhoof Behemoth                                     |     2 |  2.44% |      8-5-0 | 61.54% |           2 |           0 |
| Dead // Gone                                            |     2 |  2.44% |      3-7-0 | 30.00% |           0 |           4 |
| Disciple of Freyalise // Garden of Freyalise            |     2 |  2.44% |      7-7-0 | 50.00% |           4 |           1 |
| Disruptive Stormbrood // Petty Revenge                  |     2 |  2.44% |      7-7-0 | 50.00% |           0 |           2 |
| Doomsday                                                |     2 |  2.44% |      6-7-0 | 46.15% |           4 |           4 |
| Doorkeeper Thrull                                       |     2 |  2.44% |      3-7-1 | 31.82% |           6 |           0 |
| Echoing Deeps                                           |     2 |  2.44% |      7-6-0 | 53.85% |           2 |           0 |
| Edge of Autumn                                          |     2 |  2.44% |      6-7-0 | 46.15% |           2 |           1 |
| Emrakul, the Aeons Torn                                 |     2 |  2.44% |      6-6-0 | 50.00% |           2 |           0 |
| Fell the Profane // Fell Mire                           |     2 |  2.44% |      9-5-0 | 64.29% |           8 |           0 |
| Flusterstorm                                            |     2 |  2.44% |      7-5-1 | 57.69% |           2 |           1 |
| Foundation Breaker                                      |     2 |  2.44% |      7-7-0 | 50.00% |           0 |           2 |
| Grist, the Hunger Tide                                  |     2 |  2.44% |      4-6-1 | 40.91% |           2 |           1 |
| Hullbreacher                                            |     2 |  2.44% |      7-5-2 | 57.14% |           1 |           1 |
| Inquisition of Kozilek                                  |     2 |  2.44% |      4-5-1 | 45.00% |           0 |           2 |
| Jace, Wielder of Mysteries                              |     2 |  2.44% |      6-7-0 | 46.15% |           0 |           2 |
| Knight of the Reliquary                                 |     2 |  2.44% |      3-7-0 | 30.00% |           7 |           0 |
| Lively Dirge                                            |     2 |  2.44% |      7-7-0 | 50.00% |           2 |           0 |
| Massacre                                                |     2 |  2.44% |      5-5-1 | 50.00% |           0 |           2 |
| Metallic Rebuke                                         |     2 |  2.44% |      9-5-1 | 63.33% |           5 |           0 |
| Nethergoyf                                              |     2 |  2.44% |      7-6-0 | 53.85% |           8 |           0 |
| Overlord of the Balemurk                                |     2 |  2.44% |      5-6-0 | 45.45% |           8 |           0 |
| Samwise the Stouthearted                                |     2 |  2.44% |      4-8-1 | 34.62% |           2 |           0 |
| Sanctifier en-Vec                                       |     2 |  2.44% |      7-6-0 | 53.85% |           0 |           4 |
| Shaman en-Kor                                           |     2 |  2.44% |      6-5-0 | 54.55% |           2 |           0 |
| Shuko                                                   |     2 |  2.44% |      5-5-1 | 50.00% |           4 |           0 |
| Silent Clearing                                         |     2 |  2.44% |      6-8-0 | 42.86% |           2 |           0 |
| Snapcaster Mage                                         |     2 |  2.44% |      4-7-1 | 37.50% |           3 |           0 |
| Static Prison                                           |     2 |  2.44% |      6-8-0 | 42.86% |           3 |           1 |
| Stock Up                                                |     2 |  2.44% |      9-5-1 | 63.33% |           6 |           0 |
| Stony Silence                                           |     2 |  2.44% |      6-6-1 | 50.00% |           0 |           3 |
| Street Wraith                                           |     2 |  2.44% |      6-7-0 | 46.15% |           3 |           2 |
| Summoner's Pact                                         |     2 |  2.44% |      7-7-0 | 50.00% |           8 |           0 |
| Sunbaked Canyon                                         |     2 |  2.44% |      6-8-0 | 42.86% |           2 |           0 |
| Thought Monitor                                         |     2 |  2.44% |      6-6-0 | 50.00% |           6 |           0 |
| Thundertrap Trainer                                     |     2 |  2.44% |      3-6-2 | 36.36% |           4 |           0 |
| Unlicensed Hearse                                       |     2 |  2.44% |      5-6-1 | 45.83% |           0 |           3 |
| Unmask                                                  |     2 |  2.44% |      6-7-0 | 46.15% |           3 |           4 |
| Wild Cantor                                             |     2 |  2.44% |      7-7-0 | 50.00% |           2 |           0 |
| Witch Enchanter // Witch-Blessed Meadow                 |     2 |  2.44% |      5-6-0 | 45.45% |           3 |           0 |
