Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Perilous Snare                                          |     7 |  9.72% |  19-16-0 | 54.29% |           0 |           7 |
| Portable Hole                                           |     7 |  9.72% |  19-16-0 | 54.29% |           6 |           4 |
| Agatha's Soul Cauldron                                  |     6 |  8.33% |  17-16-0 | 51.52% |           9 |           3 |
| Badlands                                                |     6 |  8.33% |   6-15-1 | 29.55% |           7 |           0 |
| Cabal Therapy                                           |     6 |  8.33% |   8-17-0 | 32.00% |          16 |           0 |
| Crop Rotation                                           |     6 |  8.33% |  14-16-1 | 46.77% |          23 |           0 |
| Dread Return                                            |     6 |  8.33% |  13-16-1 | 45.00% |           7 |           0 |
| Keen-Eyed Curator                                       |     6 |  8.33% |  23-17-0 | 57.50% |           6 |           2 |
| Lush Portico                                            |     6 |  8.33% |  17-17-0 | 50.00% |           6 |           0 |
| Maze of Ith                                             |     6 |  8.33% |  17-16-1 | 51.47% |           6 |           0 |
| Memory's Journey                                        |     6 |  8.33% |  13-16-1 | 45.00% |           6 |           0 |
| Mox Diamond                                             |     6 |  8.33% |  17-16-1 | 51.47% |          23 |           0 |
| Mystic Forge                                            |     6 |  8.33% |  14-14-0 | 50.00% |           9 |           5 |
| Narcomoeba                                              |     6 |  8.33% |  13-16-1 | 45.00% |          13 |           0 |
| Noble Hierarch                                          |     6 |  8.33% |  19-16-0 | 54.29% |          11 |           0 |
| Once Upon a Time                                        |     6 |  8.33% |  17-15-1 | 53.03% |          18 |           0 |
| The Tabernacle at Pendrell Vale                         |     6 |  8.33% |  17-16-1 | 51.47% |           4 |           2 |
| Ugin, Eye of the Storms                                 |     6 |  8.33% |  12-14-0 | 46.15% |          12 |           2 |
| Uro, Titan of Nature's Wrath                            |     6 |  8.33% |  17-17-0 | 50.00% |           3 |           3 |
| Yavimaya, Cradle of Growth                              |     6 |  8.33% |  14-16-1 | 46.77% |          17 |           0 |
| Abrade                                                  |     5 |  6.94% |  13-14-1 | 48.21% |           0 |           8 |
| Arid Mesa                                               |     5 |  6.94% |  12-12-2 | 50.00% |          15 |           0 |
| Carpet of Flowers                                       |     5 |  6.94% |  13-14-0 | 48.15% |           0 |          10 |
| Damping Sphere                                          |     5 |  6.94% |  13-15-0 | 46.43% |           0 |           7 |
| Dark Depths                                             |     5 |  6.94% |  14-13-1 | 51.79% |          18 |           0 |
| Dark Ritual                                             |     5 |  6.94% |   8-16-0 | 33.33% |          20 |           0 |
| Delighted Halfling                                      |     5 |  6.94% |  13-14-0 | 48.15% |          14 |           0 |
| Dragon's Rage Channeler                                 |     5 |  6.94% |  16-13-1 | 55.00% |          20 |           0 |
| Dress Down                                              |     5 |  6.94% |  15-15-0 | 50.00% |          17 |           0 |
| Fiery Confluence                                        |     5 |  6.94% |  14-13-1 | 51.79% |           0 |           8 |
| Life from the Loam                                      |     5 |  6.94% |  14-12-1 | 53.70% |          18 |           0 |
| Mishra's Bauble                                         |     5 |  6.94% |  19-14-1 | 57.35% |          19 |           0 |
| Mishra's Research Desk                                  |     5 |  6.94% |  19-11-0 | 63.33% |           5 |           0 |
| Red Elemental Blast                                     |     5 |  6.94% |  13-16-0 | 44.83% |           1 |           6 |
| Rest in Peace                                           |     5 |  6.94% |  12-15-0 | 44.44% |           0 |           7 |
| Sejiri Steppe                                           |     5 |  6.94% |  14-13-1 | 51.79% |           5 |           0 |
| Snuff Out                                               |     5 |  6.94% |  17-14-0 | 54.84% |           0 |           8 |
| Solitude                                                |     5 |  6.94% |  21-11-2 | 64.71% |          12 |           4 |
| Sundering Eruption // Volcanic Fissure                  |     5 |  6.94% |  14-13-1 | 51.79% |          18 |           0 |
| Thespian's Stage                                        |     5 |  6.94% |  14-13-1 | 51.79% |          18 |           0 |
| Thundering Falls                                        |     5 |  6.94% |  17-15-1 | 53.03% |           5 |           0 |
| Bayou                                                   |     4 |  5.56% |  14-10-0 | 58.33% |           6 |           0 |
| Cephalid Illusionist                                    |     4 |  5.56% |   9-10-1 | 47.50% |          16 |           0 |
| Chaos Defiler                                           |     4 |  5.56% |  13-10-0 | 56.52% |           3 |           1 |
| Containment Priest                                      |     4 |  5.56% |  10-12-2 | 45.83% |           3 |           4 |
| Cori-Steel Cutter                                       |     4 |  5.56% |  16-11-1 | 58.93% |          13 |           0 |
| Elvish Spirit Guide                                     |     4 |  5.56% |   6-12-0 | 33.33% |          16 |           0 |
| Exploration                                             |     4 |  5.56% |   11-9-1 | 54.76% |          16 |           0 |
| Genemorph Imago                                         |     4 |  5.56% |   8-12-0 | 40.00% |           4 |           0 |
| Ghost Quarter                                           |     4 |  5.56% |   11-9-1 | 54.76% |           4 |           0 |
| Grindstone                                              |     4 |  5.56% |  13-10-0 | 56.52% |           6 |           1 |
| Guide of Souls                                          |     4 |  5.56% |   7-10-0 | 41.18% |          16 |           0 |
| Malevolent Rumble                                       |     4 |  5.56% |   11-9-1 | 54.76% |          16 |           0 |
| Ocelot Pride                                            |     4 |  5.56% |   7-10-0 | 41.18% |          16 |           0 |
| Painter's Servant                                       |     4 |  5.56% |  13-10-0 | 56.52% |          15 |           1 |
| Paradox Engine                                          |     4 |  5.56% |  13-10-0 | 56.52% |           0 |           4 |
| Path to Exile                                           |     4 |  5.56% |   16-8-2 | 65.38% |           0 |           6 |
| Quantum Riddler                                         |     4 |  5.56% |  11-13-0 | 45.83% |          11 |           0 |
| Shadowy Backstreet                                      |     4 |  5.56% |    9-9-2 | 50.00% |           5 |           0 |
| Shuko                                                   |     4 |  5.56% |   9-10-1 | 47.50% |           8 |           0 |
| Stock Up                                                |     4 |  5.56% |  11-10-2 | 52.17% |          14 |           0 |
| Trinisphere                                             |     4 |  5.56% |   8-10-0 | 44.44% |           8 |           3 |
| Unlicensed Hearse                                       |     4 |  5.56% |  14-10-1 | 58.00% |           3 |           4 |
| Veil of Summer                                          |     4 |  5.56% |  11-11-0 | 50.00% |           0 |           6 |
| Wrath of the Skies                                      |     4 |  5.56% |  12-11-2 | 52.00% |           0 |           6 |
| Abrupt Decay                                            |     3 |  4.17% |   10-7-0 | 58.82% |           4 |           1 |
| Ajani, Nacatl Pariah // Ajani, Nacatl Avenger           |     3 |  4.17% |    3-8-0 | 27.27% |          12 |           0 |
| Amped Raptor                                            |     3 |  4.17% |    3-8-0 | 27.27% |          12 |           0 |
| Arena of Glory                                          |     3 |  4.17% |    8-8-0 | 50.00% |           3 |           0 |
| Boggart Trawler // Boggart Bog                          |     3 |  4.17% |    9-8-0 | 52.94% |           9 |           0 |
| Candelabra of Tawnos                                    |     3 |  4.17% |   11-6-0 | 64.71% |           3 |           0 |
| Curie, Emergent Intelligence                            |     3 |  4.17% |   10-7-0 | 58.82% |           7 |           0 |
| Dead // Gone                                            |     3 |  4.17% |    5-9-0 | 35.71% |           0 |           7 |
| Delver of Secrets // Insectile Aberration               |     3 |  4.17% |   10-9-1 | 52.50% |           9 |           0 |
