Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Snow-Covered Island	1	0.012195	1-3-0	0.250000	1	0
Snow-Covered Plains	1	0.012195	1-3-0	0.250000	1	0
Snow-Covered Swamp	1	0.012195	1-3-0	0.250000	1	0
Staff of the Storyteller	1	0.012195	2-5-0	0.285714	1	0
Steel Wrecking Ball	1	0.012195	0-3-0	0.000000	0	2
Stern Scolding	1	0.012195	0-3-0	0.000000	1	0
Stifle	1	0.012195	1-4-0	0.200000	3	0
Stinkweed Imp	1	0.012195	2-4-0	0.333333	4	0
Stoneforge Mystic	1	0.012195	4-3-0	0.571429	4	0
Sudden Edict	1	0.012195	2-4-1	0.357143	1	0
Supreme Verdict	1	0.012195	2-3-1	0.416667	0	1
Sylvan Library	1	0.012195	3-3-0	0.500000	2	0
Taiga	1	0.012195	3-3-0	0.500000	1	0
Talon Gates of Madara	1	0.012195	3-3-0	0.500000	1	0
The Stone Brain	1	0.012195	6-2-1	0.722222	0	1
Time Spiral	1	0.012195	3-4-0	0.428571	4	0
Torpor Orb	1	0.012195	5-2-1	0.687500	3	0
Triumph of Saint Katherine	1	0.012195	1-4-0	0.200000	0	2
Tune the Narrative	1	0.012195	0-3-0	0.000000	2	0
Turnabout	1	0.012195	3-4-0	0.428571	4	0
Twinshot Sniper	1	0.012195	1-4-0	0.200000	0	1
Twisted Image	1	0.012195	3-3-0	0.500000	0	1
Tyrant's Scorn	1	0.012195	2-4-1	0.357143	1	0
Ugin, the Ineffable	1	0.012195	2-3-0	0.400000	1	0
Ulamog, the Ceaseless Hunger	1	0.012195	4-3-0	0.571429	1	0
Underground Mortuary	1	0.012195	4-2-1	0.642857	1	0
Up the Beanstalk	1	0.012195	5-1-1	0.785714	4	0
Urza's Mine	1	0.012195	2-3-0	0.400000	4	0
Urza's Power Plant	1	0.012195	2-3-0	0.400000	4	0
Valgavoth, Terror Eater	1	0.012195	0-3-0	0.000000	1	0
Vision Charm	1	0.012195	3-3-0	0.500000	0	1
Void Mirror	1	0.012195	0-4-0	0.000000	0	2
Volrath's Stronghold	1	0.012195	2-5-0	0.285714	1	0
Warping Wail	1	0.012195	0-2-0	0.000000	0	1
White Orchid Phantom	1	0.012195	4-3-0	0.571429	2	0
Witherbloom Command	1	0.012195	4-2-1	0.642857	3	0
